# wave A(l)/A(V) unc
1.00088e-01 5.79159e+00 2.89580e-01
1.00554e-01 5.73148e+00 2.86574e-01
1.01022e-01 5.67164e+00 2.83582e-01
1.01492e-01 5.61216e+00 2.80608e-01
1.01964e-01 5.55312e+00 2.77656e-01
1.02439e-01 5.49455e+00 2.74727e-01
1.02916e-01 5.43651e+00 2.71825e-01
1.03395e-01 5.37904e+00 2.68952e-01
1.03876e-01 5.32218e+00 2.66109e-01
1.04359e-01 5.26598e+00 2.63299e-01
1.04845e-01 5.21045e+00 2.60523e-01
1.05333e-01 5.15563e+00 2.57781e-01
1.05823e-01 5.10154e+00 2.55077e-01
1.06316e-01 5.04819e+00 2.52409e-01
1.06810e-01 4.99558e+00 2.49779e-01
1.07308e-01 4.94376e+00 2.47188e-01
1.07807e-01 4.89272e+00 2.44636e-01
1.08309e-01 4.84245e+00 2.42122e-01
1.08813e-01 4.79298e+00 2.39649e-01
1.09319e-01 4.74425e+00 2.37212e-01
1.09828e-01 4.69629e+00 2.34814e-01
1.10339e-01 4.64909e+00 2.32455e-01
1.10853e-01 4.60260e+00 2.30130e-01
1.11369e-01 4.55079e+00 2.27540e-01
1.11887e-01 4.49590e+00 2.24795e-01
1.12408e-01 4.44472e+00 2.22236e-01
1.12931e-01 4.39710e+00 2.19855e-01
1.13456e-01 4.35302e+00 2.17651e-01
1.13984e-01 4.31235e+00 2.15618e-01
1.14515e-01 4.27503e+00 2.13752e-01
1.15048e-01 4.23939e+00 2.11969e-01
1.15583e-01 4.19905e+00 2.09953e-01
1.16121e-01 4.15959e+00 2.07980e-01
1.16662e-01 4.12124e+00 2.06062e-01
1.17205e-01 4.08375e+00 2.04187e-01
1.17750e-01 4.04707e+00 2.02353e-01
1.18298e-01 4.01156e+00 2.00578e-01
1.18849e-01 3.97668e+00 1.98834e-01
1.19402e-01 3.94291e+00 1.97145e-01
1.19958e-01 3.91001e+00 1.95500e-01
1.20516e-01 3.87771e+00 1.93885e-01
1.21077e-01 3.84671e+00 1.92336e-01
1.21640e-01 3.81629e+00 1.90815e-01
