# 3.7584e-08 0 1 : grain size, compostion index, size index
# Heating and cooling timescale: 1.04151e+06 0.0867834
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41
0.05 6.61692e-17 6.61687e-17 5.42125e-22 8.193e-06 2.40654e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45
0.0525665 7.31365e-17 7.31359e-17 5.99208e-22 8.193e-06 2.65994e-05 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45 0 5.60519e-45 0 7.00649e-45 0 8.40779e-45 0 9.80909e-45 0 1.12104e-44 0 1.26117e-44 0 1.4013e-44 0 1.54143e-44 0 1.68156e-44 0 1.96182e-44 0 2.10195e-44 0 2.24208e-44 0 2.52234e-44 0 2.66247e-44 0 2.94273e-44 0 3.22299e-44 0 3.36312e-44 0 3.64338e-44 0 3.92364e-44 0 4.2039e-44 0 4.48416e-44 0 4.76441e-44 0 5.04467e-44 0 5.32493e-44 0 5.60519e-44 0 5.88545e-44 0 6.30584e-44 0 6.5861e-44 0 6.86636e-44
0.0552647 8.08374e-17 8.08368e-17 6.62301e-22 8.193e-06 2.94002e-05 0 0 0 0 0 0 0 0 0 8.40779e-45 0 1.54143e-44 0 2.66247e-44 0 3.92364e-44 0 5.04467e-44 0 6.44597e-44 0 7.9874e-44 0 9.66896e-44 0 1.14906e-43 0 1.34525e-43 0 1.55544e-43 0 1.79366e-43 0 2.03188e-43 0 2.29813e-43 0 2.57839e-43 0 2.87266e-43 0 3.18095e-43 0 3.50325e-43 0 3.85357e-43 0 4.2039e-43 0 4.58225e-43 0 4.97461e-43 0 5.38099e-43 0 5.80138e-43 0 6.23578e-43 0 6.68419e-43 0 7.16064e-43 0 7.63708e-43 0 8.14154e-43 0 8.66002e-43 0 9.19252e-43 0 9.73902e-43 0 1.03136e-42 0 1.08881e-42 0 1.14766e-42 0 1.20932e-42 0 1.27238e-42
0.0581015 8.93492e-17 8.93485e-17 7.32038e-22 8.193e-06 3.24959e-05 0 0 0 0 0 0 0 1.4013e-45 0 1.48538e-43 0 2.66247e-43 0 4.33001e-43 0 6.30584e-43 0 8.22562e-43 0 1.03836e-42 0 1.28079e-42 0 1.54703e-42 0 1.8399e-42 0 2.158e-42 0 2.50132e-42 0 2.86986e-42 0 3.26222e-42 0 3.68121e-42 0 4.12542e-42 0 4.59486e-42 0 5.08952e-42 0 5.6108e-42 0 6.1559e-42 0 6.72623e-42 0 7.32178e-42 0 7.94396e-42 0 8.58996e-42 0 9.26258e-42 0 9.95903e-42 0 1.06821e-41 0 1.1429e-41 0 1.22025e-41 0 1.30012e-41 0 1.38238e-41 0 1.4673e-41 0 1.55474e-41 0 1.6447e-41 0 1.73719e-41 0 1.8322e-41 0 1.92973e-41 0 2.02978e-41
0.0610839 9.87572e-17 9.87564e-17 8.09118e-22 8.193e-06 3.59176e-05 0 0 0 2.8026e-45 0 2.52234e-44 0 7.42688e-44 0 2.36119e-42 0 4.06517e-42 0 6.41374e-42 0 9.18831e-42 0 1.19096e-41 0 1.49813e-41 0 1.84061e-41 0 2.21826e-41 0 2.63108e-41 0 3.07907e-41 0 3.56238e-41 0 4.08086e-41 0 4.63437e-41 0 5.2232e-41 0 5.8472e-41 0 6.50651e-41 0 7.20085e-41 0 7.93051e-41 0 8.69534e-41 0 9.49534e-41 0 1.03305e-40 0 1.1201e-40 0 1.21065e-40 0 1.30473e-40 0 1.40234e-40 0 1.50345e-40 0 1.60809e-40 0 1.71625e-40 0 1.82792e-40 0 1.94312e-40 0 2.06184e-40 0 2.18408e-40 0 2.30984e-40 0 2.43911e-40 0 2.57192e-40 0 2.70823e-40 0 2.84807e-40
0.0642193 1.09156e-16 1.09155e-16 8.94315e-22 8.193e-06 3.96995e-05 0 1.54143e-44 0 1.82169e-43 0 1.22333e-42 0 3.47662e-42 0 3.93835e-41 0 6.27011e-41 0 9.35479e-41 0 1.29497e-40 0 1.6525e-40 0 2.05313e-40 0 2.4969e-40 0 2.98381e-40 0 3.51384e-40 0 4.08701e-40 0 4.7033e-40 0 5.36273e-40 0 6.06528e-40 0 6.81097e-40 0 7.59979e-40 0 8.43174e-40 0 9.30681e-40 0 1.0225e-39 0 1.11864e-39 0 1.21908e-39 0 1.32384e-39 0 1.43291e-39 0 1.5463e-39 0 1.664e-39 0 1.78601e-39 0 1.91234e-39 0 2.04298e-39 0 2.17793e-39 0 2.31719e-39 0 2.46077e-39 0 2.60866e-39 0 2.76087e-39 0 2.91738e-39 0 3.07821e-39 0 3.24336e-39 0 3.41282e-39 0 3.58659e-39
0.0675157 1.2065e-16 1.20649e-16 9.88482e-22 8.193e-06 4.38797e-05 0 7.86128e-43 0 7.99441e-42 0 4.91758e-41 0 1.339e-40 0 7.66428e-40 0 1.10241e-39 0 1.51651e-39 0 1.98485e-39 0 2.45585e-39 0 2.97371e-39 0 3.53843e-39 0 4.15002e-39 0 4.80846e-39 0 5.51377e-39 0 6.26594e-39 0 7.06498e-39 0 7.91087e-39 0 8.80364e-39 0 9.74326e-39 0 1.07298e-38 0 1.17631e-38 0 1.28433e-38 0 1.39704e-38 0 1.51443e-38 0 1.63651e-38 0 1.76328e-38 0 1.89473e-38 0 2.03087e-38 0 2.1717e-38 0 2.31721e-38 0 2.46741e-38 0 2.62229e-38 0 2.78186e-38 0 2.94612e-38 0 3.11507e-38 0 3.28869e-38 0 3.46701e-38 0 3.65001e-38 0 3.8377e-38 0 4.03008e-38 0 4.22714e-38
0.0709813 1.33353e-16 1.33352e-16 1.09256e-21 8.193e-06 4.85e-05 0 3.18291e-41 0 2.91113e-40 0 1.64635e-39 0 4.30591e-39 0 1.69877e-38 0 2.26165e-38 0 2.89678e-38 0 3.58369e-38 0 4.27744e-38 0 5.01665e-38 0 5.80131e-38 0 6.63142e-38 0 7.50698e-38 0 8.42798e-38 0 9.39443e-38 0 1.04064e-37 0 1.14637e-37 0 1.25665e-37 0 1.37148e-37 0 1.49085e-37 0 1.61477e-37 0 1.74323e-37 0 1.87623e-37 0 2.01379e-37 0 2.15588e-37 0 2.30252e-37 0 2.45371e-37 0 2.60945e-37 0 2.76972e-37 0 2.93454e-37 0 3.10391e-37 0 3.27782e-37 0 3.45628e-37 0 3.63929e-37 0 3.82683e-37 0 4.01893e-37 0 4.21556e-37 0 4.41675e-37 0 4.62248e-37 0 4.83275e-37 0 5.04757e-37
0.0746248 1.47395e-16 1.47394e-16 1.20761e-21 8.193e-06 5.36068e-05 0 1.07242e-39 0 8.86799e-39 0 4.63293e-38 0 1.16652e-37 0 3.78977e-37 0 4.8563e-37 0 5.98262e-37 0 7.15385e-37 0 8.33426e-37 0 9.55427e-37 0 1.08139e-36 0 1.21131e-36 0 1.34519e-36 0 1.48303e-36 0 1.62484e-36 0 1.7706e-36 0 1.92032e-36 0 2.07401e-36 0 2.23166e-36 0 2.39326e-36 0 2.55883e-36 0 2.72836e-36 0 2.90184e-36 0 3.0793e-36 0 3.2607e-36 0 3.44607e-36 0 3.6354e-36 0 3.8287e-36 0 4.02594e-36 0 4.22716e-36 0 4.43233e-36 0 4.64146e-36 0 4.85455e-36 0 5.07161e-36 0 5.29263e-36 0 5.5176e-36 0 5.74653e-36 0 5.97942e-36 0 6.21629e-36 0 6.45711e-36 0 6.70188e-36
0.0784553 1.62915e-16 1.62913e-16 1.33476e-21 8.193e-06 5.92513e-05 0 3.03276e-38 0 2.27963e-37 0 1.1053e-36 0 2.68499e-36 0 7.76673e-36 0 9.8017e-36 0 1.1881e-35 0 1.39962e-35 0 1.61205e-35 0 1.8276e-35 0 2.04627e-35 0 2.26806e-35 0 2.49298e-35 0 2.721e-35 0 2.95216e-35 0 3.18644e-35 0 3.42383e-35 0 3.66435e-35 0 3.90798e-35 0 4.15474e-35 0 4.40461e-35 0 4.65762e-35 0 4.91373e-35 0 5.17298e-35 0 5.43533e-35 0 5.7008e-35 0 5.9694e-35 0 6.24114e-35 0 6.51596e-35 0 6.79394e-35 0 7.07502e-35 0 7.35922e-35 0 7.64654e-35 0 7.937e-35 0 8.23057e-35 0 8.52725e-35 0 8.82705e-35 0 9.12997e-35 0 9.43603e-35 0 9.7452e-35 0 1.00575e-34
