# 3.55e-08 0 0 : grain size, compostion index, size index
# Heating and cooling timescale: 1.18268e+06 0.607402
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41
0.05 1.90231e-16 1.90225e-16 6.50925e-21 3.42176e-05 0.000275342 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 5.60519e-45 0 7.00649e-45 0 9.80909e-45 0 1.26117e-44 0 1.68156e-44 0 2.10195e-44 0 2.52234e-44 0 2.94273e-44 0 3.50325e-44 0 3.92364e-44 0 4.62428e-44 0 5.1848e-44 0 5.88545e-44 0 6.5861e-44 0 7.28675e-44 0 8.12753e-44 0 8.96831e-44 0 9.80909e-44 0 1.079e-43 0 1.17709e-43 0 1.27518e-43 0 1.37327e-43 0 1.48538e-43 0 1.59748e-43 0 1.70958e-43 0 1.8357e-43 0 1.96182e-43 0 2.08793e-43 0 2.21405e-43 0 2.35418e-43 0 2.49431e-43 0 2.63444e-43 0 2.78858e-43 0 2.94273e-43 0 3.09687e-43 0 3.25101e-43
0.0525665 2.20306e-16 2.20299e-16 6.9783e-21 3.16756e-05 0.00024527 0 1.4013e-45 0 4.2039e-45 0 1.82169e-44 0 4.2039e-44 0 7.28675e-44 0 1.14906e-43 0 1.63952e-43 0 2.24208e-43 0 2.9147e-43 0 3.68541e-43 0 4.55422e-43 0 5.5071e-43 0 6.55808e-43 0 7.69313e-43 0 8.91226e-43 0 1.02295e-42 0 1.16448e-42 0 1.31442e-42 0 1.47276e-42 0 1.64092e-42 0 1.81889e-42 0 2.00386e-42 0 2.20004e-42 0 2.40463e-42 0 2.61763e-42 0 2.84043e-42 0 3.07165e-42 0 3.31267e-42 0 3.5621e-42 0 3.81994e-42 0 4.08899e-42 0 4.36504e-42 0 4.65091e-42 0 4.94658e-42 0 5.25067e-42 0 5.56315e-42 0 5.88545e-42 0 6.21756e-42 0 6.55808e-42 0 6.907e-42 0 7.26573e-42
0.0552647 2.54214e-16 2.54207e-16 7.47485e-21 2.94038e-05 0.00021841 0 1.96182e-44 0 9.80909e-44 0 3.69943e-43 0 8.15556e-43 0 1.43493e-42 0 2.22666e-42 0 3.19356e-42 0 4.33281e-42 0 5.64723e-42 0 7.13401e-42 0 8.79455e-42 0 1.06288e-41 0 1.26355e-41 0 1.48173e-41 0 1.71715e-41 0 1.97009e-41 0 2.24026e-41 0 2.5278e-41 0 2.83272e-41 0 3.15488e-41 0 3.49456e-41 0 3.85161e-41 0 4.2259e-41 0 4.61756e-41 0 5.0266e-41 0 5.45301e-41 0 5.8968e-41 0 6.35797e-41 0 6.83651e-41 0 7.33229e-41 0 7.84559e-41 0 8.37612e-41 0 8.92403e-41 0 9.48931e-41 0 1.0072e-40 0 1.06719e-40 0 1.12893e-40 0 1.19239e-40 0 1.25761e-40 0 1.32455e-40 0 1.39323e-40
0.0581015 2.98576e-16 2.98568e-16 7.88408e-21 2.64056e-05 0.000194389 0 5.56315e-43 0 2.09915e-42 0 7.13121e-42 0 1.50948e-41 0 2.59899e-41 0 3.98165e-41 0 5.6576e-41 0 7.62671e-41 0 9.88896e-41 0 1.24445e-40 0 1.52931e-40 0 1.84349e-40 0 2.18701e-40 0 2.55982e-40 0 2.96197e-40 0 3.39344e-40 0 3.85422e-40 0 4.34432e-40 0 4.86374e-40 0 5.41247e-40 0 5.99054e-40 0 6.59792e-40 0 7.23461e-40 0 7.90063e-40 0 8.59597e-40 0 9.32064e-40 0 1.00746e-39 0 1.08579e-39 0 1.16705e-39 0 1.25125e-39 0 1.33837e-39 0 1.42843e-39 0 1.52142e-39 0 1.61734e-39 0 1.71619e-39 0 1.81798e-39 0 1.9227e-39 0 2.03035e-39 0 2.14093e-39 0 2.25444e-39 0 2.37089e-39
0.0610839 4.1422e-16 4.14212e-16 8.38067e-21 2.02324e-05 0.000171204 0 2.12997e-41 0 5.95019e-41 0 1.70123e-40 0 3.31864e-40 0 5.44725e-40 0 8.08706e-40 0 1.12381e-39 0 1.49003e-39 0 1.90737e-39 0 2.37583e-39 0 2.89542e-39 0 3.46612e-39 0 4.08794e-39 0 4.76089e-39 0 5.48495e-39 0 6.26013e-39 0 7.08644e-39 0 7.96387e-39 0 8.89242e-39 0 9.87208e-39 0 1.09029e-38 0 1.19848e-38 0 1.31178e-38 0 1.4302e-38 0 1.55372e-38 0 1.68236e-38 0 1.81611e-38 0 1.95498e-38 0 2.09895e-38 0 2.24804e-38 0 2.40224e-38 0 2.56155e-38 0 2.72598e-38 0 2.89551e-38 0 3.07016e-38 0 3.24992e-38 0 3.4348e-38 0 3.62478e-38 0 3.81988e-38 0 4.02009e-38 0 4.22541e-38
0.0642193 5.23491e-16 5.23482e-16 9.33406e-21 1.78304e-05 0.000148074 0 7.52609e-40 0 1.73721e-39 0 4.18898e-39 0 7.35529e-39 0 1.12362e-38 0 1.58316e-38 0 2.11416e-38 0 2.71662e-38 0 3.39053e-38 0 4.1359e-38 0 4.95273e-38 0 5.84101e-38 0 6.80074e-38 0 7.83195e-38 0 8.9346e-38 0 1.01087e-37 0 1.13543e-37 0 1.26713e-37 0 1.40598e-37 0 1.55197e-37 0 1.70511e-37 0 1.8654e-37 0 2.03282e-37 0 2.2074e-37 0 2.38912e-37 0 2.57799e-37 0 2.77401e-37 0 2.97717e-37 0 3.18747e-37 0 3.40492e-37 0 3.62952e-37 0 3.86126e-37 0 4.10015e-37 0 4.34618e-37 0 4.59936e-37 0 4.85969e-37 0 5.12716e-37 0 5.40178e-37 0 5.68353e-37 0 5.97245e-37 0 6.2685e-37
0.0675157 6.26176e-16 6.26165e-16 1.09627e-20 1.75073e-05 0.000124772 0 2.30757e-38 0 4.88265e-38 0 1.06029e-37 0 1.71606e-37 0 2.4556e-37 0 3.27889e-37 0 4.18594e-37 0 5.17675e-37 0 6.25131e-37 0 7.40963e-37 0 8.65171e-37 0 9.97753e-37 0 1.13871e-36 0 1.28805e-36 0 1.44576e-36 0 1.61184e-36 0 1.78631e-36 0 1.96915e-36 0 2.16036e-36 0 2.35994e-36 0 2.56791e-36 0 2.78426e-36 0 3.00897e-36 0 3.24206e-36 0 3.48353e-36 0 3.73338e-36 0 3.9916e-36 0 4.25819e-36 0 4.53316e-36 0 4.81651e-36 0 5.10823e-36 0 5.40833e-36 0 5.7168e-36 0 6.03366e-36 0 6.35888e-36 0 6.69248e-36 0 7.03446e-36 0 7.38482e-36 0 7.74354e-36 0 8.11065e-36 0 8.48613e-36
0.0709813 7.19443e-16 7.19432e-16 1.13071e-20 1.57164e-05 0.000104612 0 5.95731e-37 0 1.218e-36 0 2.52008e-36 0 3.90625e-36 0 5.37652e-36 0 6.93088e-36 0 8.5693e-36 0 1.02919e-35 0 1.20985e-35 0 1.39892e-35 0 1.5964e-35 0 1.80229e-35 0 2.01658e-35 0 2.2393e-35 0 2.47041e-35 0 2.70993e-35 0 2.95787e-35 0 3.21421e-35 0 3.47897e-35 0 3.75212e-35 0 4.0337e-35 0 4.32368e-35 0 4.62206e-35 0 4.92885e-35 0 5.24406e-35 0 5.56768e-35 0 5.89971e-35 0 6.24014e-35 0 6.58898e-35 0 6.94623e-35 0 7.31188e-35 0 7.68595e-35 0 8.06844e-35 0 8.45932e-35 0 8.85862e-35 0 9.26632e-35 0 9.68244e-35 0 1.0107e-34 0 1.05399e-34 0 1.09812e-34 0 1.1431e-34
0.0746248 6.72154e-16 6.72145e-16 9.86514e-21 1.46769e-05 9.02483e-05 0 1.0823e-35 0 2.18398e-35 0 4.42956e-35 0 6.73672e-35 0 9.10552e-35 0 1.15359e-34 0 1.40278e-34 0 1.65815e-34 0 1.91966e-34 0 2.18734e-34 0 2.46118e-34 0 2.74117e-34 0 3.02733e-34 0 3.31965e-34 0 3.61813e-34 0 3.92276e-34 0 4.23356e-34 0 4.55052e-34 0 4.87364e-34 0 5.2029e-34 0 5.53835e-34 0 5.87995e-34 0 6.22769e-34 0 6.58161e-34 0 6.94168e-34 0 7.30793e-34 0 7.68033e-34 0 8.05888e-34 0 8.4436e-34 0 8.83447e-34 0 9.23149e-34 0 9.63468e-34 0 1.0044e-33 0 1.04596e-33 0 1.08812e-33 0 1.13091e-33 0 1.17431e-33 0 1.21832e-33 0 1.26295e-33 0 1.3082e-33 0 1.35406e-33
0.0784553 5.28191e-16 5.28183e-16 7.64831e-21 1.44802e-05 8.06931e-05 0 1.43125e-34 0 2.87345e-34 0 5.78117e-34 0 8.72314e-34 0 1.16994e-33 0 1.47099e-33 0 1.77546e-33 0 2.08337e-33 0 2.3947e-33 0 2.70946e-33 0 3.02764e-33 0 3.34924e-33 0 3.67427e-33 0 4.00274e-33 0 4.33463e-33 0 4.66993e-33 0 5.00868e-33 0 5.35085e-33 0 5.69644e-33 0 6.04544e-33 0 6.39789e-33 0 6.75377e-33 0 7.11304e-33 0 7.47577e-33 0 7.84191e-33 0 8.21151e-33 0 8.5845e-33 0 8.96093e-33 0 9.34078e-33 0 9.72405e-33 0 1.01107e-32 0 1.05009e-32 0 1.08944e-32 0 1.12914e-32 0 1.16918e-32 0 1.20957e-32 0 1.25029e-32 0 1.29136e-32 0 1.33277e-32 0 1.37452e-32 0 1.41662e-32
