# 4.0522e-08 0 3 : grain size, compostion index, size index
# Heating and cooling timescale: 2.06254e+06 0.474079
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41
0.05 1.83395e-16 1.83391e-16 4.52563e-21 2.46769e-05 0.000382921 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 4.2039e-45 0 7.00649e-45 0 9.80909e-45 0 1.26117e-44 0 1.54143e-44 0 1.96182e-44 0 2.38221e-44 0 2.8026e-44 0 3.22299e-44 0 3.78351e-44 0 4.34403e-44 0 4.90454e-44 0 5.60519e-44 0 6.30584e-44 0 7.00649e-44 0 7.70714e-44 0 8.54792e-44 0 9.24857e-44 0 1.02295e-43 0 1.10703e-43 0 1.20512e-43 0 1.30321e-43 0 1.4013e-43 0 1.5134e-43 0 1.62551e-43 0 1.73761e-43 0 1.84971e-43 0 1.97583e-43 0 2.10195e-43 0 2.22806e-43 0 2.35418e-43 0 2.49431e-43 0 2.63444e-43 0 2.77457e-43 0 2.92871e-43 0 3.08286e-43
0.0525665 1.9908e-16 1.99075e-16 4.52274e-21 2.27183e-05 0.000344193 0 0 0 4.2039e-45 0 1.68156e-44 0 3.64338e-44 0 6.44597e-44 0 1.00893e-43 0 1.45735e-43 0 1.97583e-43 0 2.57839e-43 0 3.26503e-43 0 4.03574e-43 0 4.87652e-43 0 5.80138e-43 0 6.81031e-43 0 7.90332e-43 0 9.08041e-43 0 1.03276e-42 0 1.16588e-42 0 1.30741e-42 0 1.45595e-42 0 1.61289e-42 0 1.77825e-42 0 1.95201e-42 0 2.13418e-42 0 2.32335e-42 0 2.52094e-42 0 2.72693e-42 0 2.93992e-42 0 3.16273e-42 0 3.39254e-42 0 3.63076e-42 0 3.87599e-42 0 4.12963e-42 0 4.39307e-42 0 4.66212e-42 0 4.94098e-42 0 5.22684e-42 0 5.52112e-42 0 5.8238e-42 0 6.13488e-42 0 6.45298e-42
0.0552647 2.16473e-16 2.16468e-16 4.54069e-21 2.09758e-05 0.000309144 0 1.26117e-44 0 7.28675e-44 0 2.92871e-43 0 6.57209e-43 0 1.16868e-42 0 1.82449e-42 0 2.62603e-42 0 3.57471e-42 0 4.66773e-42 0 5.90787e-42 0 7.29236e-42 0 8.82398e-42 0 1.04999e-41 0 1.2323e-41 0 1.42918e-41 0 1.6405e-41 0 1.86653e-41 0 2.10713e-41 0 2.36217e-41 0 2.63192e-41 0 2.91624e-41 0 3.21514e-41 0 3.52847e-41 0 3.85651e-41 0 4.19913e-41 0 4.55632e-41 0 4.92809e-41 0 5.31442e-41 0 5.71534e-41 0 6.13082e-41 0 6.56088e-41 0 7.00551e-41 0 7.46472e-41 0 7.9385e-41 0 8.42699e-41 0 8.92991e-41 0 9.44741e-41 0 9.97963e-41 0 1.05263e-40 0 1.10875e-40 0 1.16634e-40
0.0581015 2.36121e-16 2.36116e-16 4.58672e-21 1.94253e-05 0.000277412 0 2.21405e-43 0 1.17849e-42 0 4.64811e-42 0 1.04116e-41 0 1.84663e-41 0 2.88149e-41 0 4.1456e-41 0 5.63897e-41 0 7.36158e-41 0 9.31345e-41 0 1.14946e-40 0 1.39051e-40 0 1.65447e-40 0 1.94137e-40 0 2.2512e-40 0 2.58395e-40 0 2.93964e-40 0 3.31826e-40 0 3.71979e-40 0 4.14426e-40 0 4.59166e-40 0 5.06199e-40 0 5.55525e-40 0 6.07143e-40 0 6.61054e-40 0 7.17259e-40 0 7.75756e-40 0 8.36547e-40 0 8.99629e-40 0 9.65007e-40 0 1.03268e-39 0 1.10264e-39 0 1.17489e-39 0 1.24944e-39 0 1.32628e-39 0 1.40542e-39 0 1.48685e-39 0 1.57057e-39 0 1.65658e-39 0 1.74489e-39 0 1.83549e-39
0.0610839 2.58245e-16 2.5824e-16 4.66363e-21 1.80589e-05 0.00024864 0 3.72045e-42 0 1.74111e-41 0 6.64272e-41 0 1.47051e-40 0 2.59279e-40 0 4.03117e-40 0 5.78561e-40 0 7.85613e-40 0 1.02427e-39 0 1.29454e-39 0 1.59642e-39 0 1.9299e-39 0 2.29499e-39 0 2.6917e-39 0 3.12001e-39 0 3.57993e-39 0 4.07146e-39 0 4.5946e-39 0 5.14935e-39 0 5.73571e-39 0 6.35368e-39 0 7.00326e-39 0 7.68446e-39 0 8.39726e-39 0 9.14167e-39 0 9.9177e-39 0 1.07253e-38 0 1.15646e-38 0 1.24354e-38 0 1.33379e-38 0 1.4272e-38 0 1.52377e-38 0 1.6235e-38 0 1.72639e-38 0 1.83245e-38 0 1.94166e-38 0 2.05404e-38 0 2.16958e-38 0 2.28827e-38 0 2.41013e-38 0 2.53516e-38
0.0642193 2.83393e-16 2.83388e-16 4.77854e-21 1.68619e-05 0.000222564 0 7.05245e-41 0 2.60307e-40 0 9.05487e-40 0 1.93554e-39 0 3.35048e-39 0 5.1503e-39 0 7.33501e-39 0 9.9046e-39 0 1.28591e-38 0 1.61985e-38 0 1.99228e-38 0 2.40319e-38 0 2.8526e-38 0 3.3405e-38 0 3.86689e-38 0 4.43177e-38 0 5.03514e-38 0 5.67701e-38 0 6.35736e-38 0 7.0762e-38 0 7.83355e-38 0 8.62938e-38 0 9.46371e-38 0 1.03365e-37 0 1.12478e-37 0 1.21976e-37 0 1.31859e-37 0 1.42127e-37 0 1.5278e-37 0 1.63818e-37 0 1.75241e-37 0 1.87048e-37 0 1.99241e-37 0 2.11819e-37 0 2.24781e-37 0 2.38129e-37 0 2.51861e-37 0 2.65978e-37 0 2.80481e-37 0 2.95368e-37 0 3.10641e-37
0.0675157 3.11894e-16 3.11889e-16 4.93458e-21 1.58213e-05 0.000198896 0 1.60381e-39 0 4.47649e-39 0 1.31187e-38 0 2.59268e-38 0 4.29006e-38 0 6.40403e-38 0 8.93458e-38 0 1.18817e-37 0 1.52454e-37 0 1.90258e-37 0 2.32227e-37 0 2.78362e-37 0 3.28664e-37 0 3.83131e-37 0 4.41764e-37 0 5.04564e-37 0 5.71529e-37 0 6.42661e-37 0 7.17959e-37 0 7.97423e-37 0 8.81054e-37 0 9.6885e-37 0 1.06081e-36 0 1.15694e-36 0 1.25724e-36 0 1.3617e-36 0 1.47033e-36 0 1.58312e-36 0 1.70008e-36 0 1.82121e-36 0 1.9465e-36 0 2.07596e-36 0 2.20959e-36 0 2.34738e-36 0 2.48934e-36 0 2.63547e-36 0 2.78576e-36 0 2.94022e-36 0 3.09885e-36 0 3.26164e-36 0 3.4286e-36
0.0709813 3.43133e-16 3.43128e-16 5.12455e-21 1.49346e-05 0.000177419 0 3.948e-38 0 9.10106e-38 0 2.22227e-37 0 3.93651e-37 0 6.0528e-37 0 8.57117e-37 0 1.14916e-36 0 1.48141e-36 0 1.85386e-36 0 2.26652e-36 0 2.7194e-36 0 3.21247e-36 0 3.74576e-36 0 4.31925e-36 0 4.93295e-36 0 5.58686e-36 0 6.28097e-36 0 7.0153e-36 0 7.78983e-36 0 8.60457e-36 0 9.45954e-36 0 1.03547e-35 0 1.12901e-35 0 1.22656e-35 0 1.32814e-35 0 1.43374e-35 0 1.54337e-35 0 1.65701e-35 0 1.77467e-35 0 1.89635e-35 0 2.02206e-35 0 2.15179e-35 0 2.28553e-35 0 2.4233e-35 0 2.56509e-35 0 2.71091e-35 0 2.86074e-35 0 3.01459e-35 0 3.17246e-35 0 3.33436e-35 0 3.50028e-35
0.0746248 3.74552e-16 3.74547e-16 5.31597e-21 1.41929e-05 0.000158155 0 9.18452e-37 0 1.93905e-36 0 4.22373e-36 0 6.85404e-36 0 9.82996e-36 0 1.31515e-35 0 1.68187e-35 0 2.08314e-35 0 2.51898e-35 0 2.98938e-35 0 3.49435e-35 0 4.03387e-35 0 4.60795e-35 0 5.2166e-35 0 5.85981e-35 0 6.53758e-35 0 7.24991e-35 0 7.99681e-35 0 8.77826e-35 0 9.59427e-35 0 1.04449e-34 0 1.133e-34 0 1.22497e-34 0 1.3204e-34 0 1.41928e-34 0 1.52162e-34 0 1.62742e-34 0 1.73666e-34 0 1.84937e-34 0 1.96554e-34 0 2.08516e-34 0 2.20824e-34 0 2.33477e-34 0 2.46476e-34 0 2.59821e-34 0 2.73511e-34 0 2.87547e-34 0 3.01928e-34 0 3.16655e-34 0 3.31728e-34 0 3.47147e-34
0.0784553 3.86516e-16 3.86511e-16 5.13098e-21 1.32749e-05 0.000142878 0 1.80295e-35 0 3.68015e-35 0 7.61401e-35 0 1.18016e-34 0 1.62428e-34 0 2.09378e-34 0 2.58863e-34 0 3.10885e-34 0 3.65444e-34 0 4.22539e-34 0 4.82172e-34 0 5.4434e-34 0 6.09045e-34 0 6.76286e-34 0 7.46063e-34 0 8.18378e-34 0 8.93227e-34 0 9.70616e-34 0 1.05054e-33 0 1.133e-33 0 1.218e-33 0 1.30553e-33 0 1.3956e-33 0 1.4882e-33 0 1.58334e-33 0 1.68102e-33 0 1.78123e-33 0 1.88398e-33 0 1.98927e-33 0 2.09709e-33 0 2.20745e-33 0 2.32035e-33 0 2.43578e-33 0 2.55375e-33 0 2.67426e-33 0 2.7973e-33 0 2.92287e-33 0 3.05099e-33 0 3.18163e-33 0 3.31482e-33 0 3.45055e-33
