# 3.55e-08 0 0 : grain size, compostion index, size index
# Heating and cooling timescale: 1.11851e+06 0.184662
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41
0.05 1.90231e-16 1.90225e-16 6.50925e-21 3.42176e-05 0.000275342 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 5.60519e-45 0 5.60519e-45 0 7.00649e-45 0 8.40779e-45 0 9.80909e-45 0 9.80909e-45 0 1.12104e-44 0 1.26117e-44 0 1.54143e-44 0 1.68156e-44 0 1.82169e-44 0 1.96182e-44 0 2.10195e-44 0 2.38221e-44 0 2.52234e-44 0 2.8026e-44 0 2.94273e-44 0 3.22299e-44 0 3.36312e-44 0 3.64338e-44 0 3.92364e-44 0 4.2039e-44 0 4.48416e-44 0 4.76441e-44 0 5.04467e-44 0 5.32493e-44 0 5.60519e-44 0 5.88545e-44 0 6.16571e-44 0 6.5861e-44
0.0525665 2.20306e-16 2.20299e-16 6.9783e-21 3.16756e-05 0.00024527 0 0 0 0 0 4.2039e-45 0 8.40779e-45 0 1.54143e-44 0 2.38221e-44 0 3.36312e-44 0 4.48416e-44 0 5.88545e-44 0 7.42688e-44 0 9.10844e-44 0 1.10703e-43 0 1.31722e-43 0 1.54143e-43 0 1.79366e-43 0 2.05991e-43 0 2.34017e-43 0 2.63444e-43 0 2.95674e-43 0 3.29305e-43 0 3.64338e-43 0 4.02173e-43 0 4.41409e-43 0 4.82047e-43 0 5.25487e-43 0 5.68927e-43 0 6.1517e-43 0 6.64215e-43 0 7.14662e-43 0 7.65109e-43 0 8.1976e-43 0 8.7441e-43 0 9.31863e-43 0 9.90718e-43 0 1.05238e-42 0 1.11403e-42 0 1.17989e-42 0 1.24575e-42 0 1.31302e-42 0 1.38308e-42 0 1.45595e-42
0.0552647 2.54214e-16 2.54207e-16 7.47485e-21 2.94038e-05 0.00021841 0 4.2039e-45 0 1.68156e-44 0 8.26766e-44 0 1.75162e-43 0 3.04082e-43 0 4.66632e-43 0 6.62814e-43 0 8.9543e-43 0 1.16168e-42 0 1.46296e-42 0 1.79927e-42 0 2.17061e-42 0 2.57559e-42 0 3.01559e-42 0 3.49063e-42 0 3.99931e-42 0 4.54301e-42 0 5.12315e-42 0 5.73551e-42 0 6.38432e-42 0 7.06675e-42 0 7.78421e-42 0 8.53671e-42 0 9.32284e-42 0 1.01454e-41 0 1.10016e-41 0 1.18914e-41 0 1.28177e-41 0 1.37776e-41 0 1.47725e-41 0 1.58024e-41 0 1.6866e-41 0 1.7966e-41 0 1.90997e-41 0 2.0267e-41 0 2.14707e-41 0 2.2708e-41 0 2.39804e-41 0 2.52878e-41 0 2.66289e-41 0 2.80064e-41
0.0581015 2.98475e-16 2.98467e-16 7.88408e-21 2.64146e-05 0.000194389 0 2.01787e-43 0 5.49309e-43 0 1.88615e-42 0 3.70784e-42 0 6.11387e-42 0 9.10564e-42 0 1.26832e-41 0 1.6845e-41 0 2.15926e-41 0 2.69259e-41 0 3.28436e-41 0 3.93471e-41 0 4.64362e-41 0 5.41097e-41 0 6.2369e-41 0 7.1214e-41 0 8.06447e-41 0 9.06598e-41 0 1.01259e-40 0 1.12446e-40 0 1.24217e-40 0 1.36573e-40 0 1.49514e-40 0 1.63042e-40 0 1.77154e-40 0 1.91852e-40 0 2.07134e-40 0 2.23003e-40 0 2.39457e-40 0 2.56495e-40 0 2.74119e-40 0 2.92329e-40 0 3.11123e-40 0 3.30503e-40 0 3.50469e-40 0 3.71019e-40 0 3.92155e-40 0 4.13876e-40 0 4.36182e-40 0 4.59075e-40 0 4.82551e-40
0.0610839 4.13347e-16 4.13339e-16 8.38067e-21 2.02751e-05 0.000171204 0 9.96603e-42 0 2.25175e-41 0 5.84986e-41 0 1.03026e-40 0 1.57737e-40 0 2.22635e-40 0 2.97717e-40 0 3.82985e-40 0 4.78437e-40 0 5.84075e-40 0 6.99897e-40 0 8.25906e-40 0 9.62098e-40 0 1.10848e-39 0 1.26504e-39 0 1.43179e-39 0 1.60872e-39 0 1.79584e-39 0 1.99314e-39 0 2.20063e-39 0 2.4183e-39 0 2.64616e-39 0 2.88421e-39 0 3.13244e-39 0 3.39086e-39 0 3.65945e-39 0 3.93824e-39 0 4.22721e-39 0 4.52637e-39 0 4.8357e-39 0 5.15523e-39 0 5.48494e-39 0 5.82484e-39 0 6.17492e-39 0 6.53519e-39 0 6.90564e-39 0 7.28628e-39 0 7.6771e-39 0 8.07811e-39 0 8.48931e-39 0 8.91068e-39
0.0642193 5.22072e-16 5.22063e-16 9.33406e-21 1.78789e-05 0.000148074 0 3.92215e-40 0 8.21335e-40 0 1.82739e-39 0 2.95456e-39 0 4.22404e-39 0 5.63583e-39 0 7.18996e-39 0 8.88639e-39 0 1.07251e-38 0 1.27062e-38 0 1.48295e-38 0 1.70953e-38 0 1.95033e-38 0 2.20536e-38 0 2.47462e-38 0 2.75812e-38 0 3.05584e-38 0 3.3678e-38 0 3.69399e-38 0 4.03441e-38 0 4.38907e-38 0 4.75795e-38 0 5.14107e-38 0 5.53842e-38 0 5.95e-38 0 6.37581e-38 0 6.81586e-38 0 7.27013e-38 0 7.73864e-38 0 8.22137e-38 0 8.71835e-38 0 9.22954e-38 0 9.75497e-38 0 1.02946e-37 0 1.08485e-37 0 1.14167e-37 0 1.1999e-37 0 1.25956e-37 0 1.32064e-37 0 1.38315e-37 0 1.44708e-37
0.0675157 6.24565e-16 6.24554e-16 1.09627e-20 1.75525e-05 0.000124772 0 1.2502e-38 0 2.54493e-38 0 5.30309e-38 0 8.20511e-38 0 1.1274e-37 0 1.451e-37 0 1.79129e-37 0 2.14828e-37 0 2.52195e-37 0 2.91234e-37 0 3.31941e-37 0 3.74319e-37 0 4.18366e-37 0 4.64082e-37 0 5.11469e-37 0 5.60525e-37 0 6.11249e-37 0 6.63644e-37 0 7.1771e-37 0 7.73444e-37 0 8.30847e-37 0 8.89922e-37 0 9.50666e-37 0 1.01308e-36 0 1.07716e-36 0 1.14291e-36 0 1.21034e-36 0 1.27943e-36 0 1.35019e-36 0 1.42262e-36 0 1.49672e-36 0 1.57249e-36 0 1.64993e-36 0 1.72904e-36 0 1.80982e-36 0 1.89227e-36 0 1.97639e-36 0 2.06218e-36 0 2.14963e-36 0 2.23877e-36 0 2.32956e-36
0.0709813 7.17404e-16 7.17392e-16 1.13071e-20 1.57611e-05 0.000104612 0 3.2639e-37 0 6.57469e-37 0 1.33613e-36 0 2.02937e-36 0 2.73938e-36 0 3.46619e-36 0 4.20978e-36 0 4.97015e-36 0 5.74729e-36 0 6.54124e-36 0 7.35194e-36 0 8.17946e-36 0 9.02375e-36 0 9.88482e-36 0 1.07627e-35 0 1.16573e-35 0 1.25687e-35 0 1.34969e-35 0 1.44419e-35 0 1.54036e-35 0 1.63822e-35 0 1.73775e-35 0 1.83896e-35 0 1.94185e-35 0 2.04642e-35 0 2.15267e-35 0 2.26059e-35 0 2.37019e-35 0 2.48147e-35 0 2.59443e-35 0 2.70907e-35 0 2.82538e-35 0 2.94337e-35 0 3.06305e-35 0 3.1844e-35 0 3.30743e-35 0 3.43213e-35 0 3.55852e-35 0 3.68658e-35 0 3.81633e-35 0 3.94774e-35
0.0746248 6.70328e-16 6.70318e-16 9.86514e-21 1.47169e-05 9.02483e-05 0 5.93733e-36 0 1.19122e-35 0 2.39798e-35 0 3.61546e-35 0 4.84525e-35 0 6.08737e-35 0 7.34184e-35 0 8.60862e-35 0 9.88769e-35 0 1.11791e-34 0 1.24828e-34 0 1.37989e-34 0 1.51273e-34 0 1.64681e-34 0 1.78211e-34 0 1.91865e-34 0 2.05641e-34 0 2.19541e-34 0 2.33565e-34 0 2.47711e-34 0 2.61981e-34 0 2.76374e-34 0 2.90891e-34 0 3.05531e-34 0 3.20293e-34 0 3.35179e-34 0 3.50189e-34 0 3.65321e-34 0 3.80577e-34 0 3.95955e-34 0 4.11458e-34 0 4.27083e-34 0 4.42831e-34 0 4.58703e-34 0 4.74698e-34 0 4.90817e-34 0 5.07058e-34 0 5.23423e-34 0 5.39911e-34 0 5.56524e-34 0 5.73256e-34
0.0784553 5.27084e-16 5.27076e-16 7.64831e-21 1.45106e-05 8.06931e-05 0 7.83378e-35 0 1.5692e-34 0 3.14726e-34 0 4.73123e-34 0 6.32205e-34 0 7.91977e-34 0 9.5244e-34 0 1.11359e-33 0 1.27542e-33 0 1.43795e-33 0 1.60116e-33 0 1.76507e-33 0 1.92966e-33 0 2.09494e-33 0 2.2609e-33 0 2.42756e-33 0 2.59489e-33 0 2.76293e-33 0 2.93165e-33 0 3.10105e-33 0 3.27115e-33 0 3.44194e-33 0 3.61341e-33 0 3.78557e-33 0 3.95842e-33 0 4.13195e-33 0 4.30618e-33 0 4.4811e-33 0 4.6567e-33 0 4.83298e-33 0 5.00996e-33 0 5.18762e-33 0 5.36597e-33 0 5.54502e-33 0 5.72475e-33 0 5.90517e-33 0 6.08627e-33 0 6.26807e-33 0 6.45055e-33 0 6.63373e-33 0 6.81757e-33
