# 4.85817e-08 0 3 : grain size, compostion index, size index
# Heating and cooling timescale: 378790 0.715787
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41
0.05 4.8716e-16 4.87118e-16 4.26905e-20 8.76313e-05 0.000515878 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0525665 5.64186e-16 5.6414e-16 4.577e-20 8.11257e-05 0.000459529 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0552647 6.5104e-16 6.50991e-16 4.90305e-20 7.53111e-05 0.000409198 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0581015 7.64672e-16 7.64621e-16 5.17186e-20 6.7635e-05 0.000364186 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0610839 1.0594e-15 1.05934e-15 5.49822e-20 5.18996e-05 0.000320745 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0642193 1.33806e-15 1.338e-15 6.12464e-20 4.57726e-05 0.000277412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0675157 1.60074e-15 1.60067e-15 7.19512e-20 4.49488e-05 0.000233749 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0709813 1.83868e-15 1.83861e-15 7.42409e-20 4.03772e-05 0.000195967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0746248 1.71803e-15 1.71797e-15 6.4798e-20 3.77164e-05 0.000169042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0784553 1.3509e-15 1.35085e-15 5.02498e-20 3.71974e-05 0.000151131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0824824 1.0724e-15 1.07236e-15 3.53441e-20 3.2958e-05 0.000141291 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0867162 8.98657e-16 8.9863e-16 2.72379e-20 3.03096e-05 0.00013568 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45 0 5.60519e-45 0 5.60519e-45 0 5.60519e-45 0 7.00649e-45 0 7.00649e-45 0 7.00649e-45 0 8.40779e-45 0 8.40779e-45 0 8.40779e-45 0 9.80909e-45 0 9.80909e-45 0 1.12104e-44 0 1.12104e-44 0 1.12104e-44
0.0911674 7.84202e-16 7.84179e-16 2.28493e-20 2.91371e-05 0.00013176 0 0 0 0 0 0 0 1.4013e-45 0 2.8026e-45 0 4.2039e-45 0 5.60519e-45 0 8.40779e-45 0 1.12104e-44 0 1.4013e-44 0 1.68156e-44 0 2.10195e-44 0 2.38221e-44 0 2.8026e-44 0 3.36312e-44 0 3.92364e-44 0 4.48416e-44 0 5.04467e-44 0 5.60519e-44 0 6.30584e-44 0 6.86636e-44 0 7.56701e-44 0 8.40779e-44 0 9.10844e-44 0 9.94922e-44 0 1.079e-43 0 1.16308e-43 0 1.26117e-43 0 1.35926e-43 0 1.45735e-43 0 1.55544e-43 0 1.66755e-43 0 1.76564e-43 0 1.87774e-43 0 2.00386e-43 0 2.11596e-43 0 2.24208e-43 0 2.36819e-43 0 2.49431e-43 0 2.63444e-43 0 2.76056e-43
0.095847 7.0108e-16 7.01062e-16 1.81298e-20 2.58598e-05 0.000138927 0 1.4013e-45 0 2.8026e-45 0 1.4013e-44 0 3.08286e-44 0 5.46506e-44 0 8.68805e-44 0 1.24716e-43 0 1.69557e-43 0 2.22806e-43 0 2.81661e-43 0 3.47522e-43 0 4.2039e-43 0 5.00264e-43 0 5.87144e-43 0 6.81031e-43 0 7.95938e-43 0 9.0664e-43 0 1.02295e-42 0 1.14766e-42 0 1.27798e-42 0 1.41671e-42 0 1.56105e-42 0 1.71379e-42 0 1.87213e-42 0 2.03889e-42 0 2.21265e-42 0 2.39342e-42 0 2.58119e-42 0 2.77597e-42 0 2.97776e-42 0 3.18655e-42 0 3.40235e-42 0 3.62516e-42 0 3.85497e-42 0 4.09319e-42 0 4.33702e-42 0 4.58785e-42 0 4.84709e-42 0 5.11194e-42 0 5.38519e-42 0 5.66545e-42
0.100767 6.14466e-16 6.14454e-16 1.23713e-20 2.01335e-05 0.000162037 0 1.4013e-44 0 5.60519e-44 0 2.29813e-43 0 5.26888e-43 0 9.37469e-43 0 1.49238e-42 0 2.14959e-42 0 2.92591e-42 0 3.82134e-42 0 4.83588e-42 0 5.97093e-42 0 7.22509e-42 0 8.59837e-42 0 1.00908e-41 0 1.17036e-41 0 1.36683e-41 0 1.55516e-41 0 1.75569e-41 0 1.9684e-41 0 2.19317e-41 0 2.43013e-41 0 2.67914e-41 0 2.94034e-41 0 3.21388e-41 0 3.49932e-41 0 3.7971e-41 0 4.10693e-41 0 4.42894e-41 0 4.76315e-41 0 5.10941e-41 0 5.46787e-41 0 5.83851e-41 0 6.22134e-41 0 6.61623e-41 0 7.02331e-41 0 7.44258e-41 0 7.87404e-41 0 8.31755e-41 0 8.77325e-41 0 9.24114e-41 0 9.72109e-41
0.105939 5.34956e-16 5.34947e-16 8.57202e-21 1.60238e-05 0.000174804 0 2.01787e-43 0 8.35174e-43 0 3.39675e-42 0 7.773e-42 0 1.38182e-41 0 2.19569e-41 0 3.16175e-41 0 4.30339e-41 0 5.62089e-41 0 7.11383e-41 0 8.7825e-41 0 1.06269e-40 0 1.2647e-40 0 1.48427e-40 0 1.7214e-40 0 2.00694e-40 0 2.28346e-40 0 2.57783e-40 0 2.89002e-40 0 3.22007e-40 0 3.56797e-40 0 3.9337e-40 0 4.31727e-40 0 4.71869e-40 0 5.13794e-40 0 5.57505e-40 0 6.03001e-40 0 6.50281e-40 0 6.99345e-40 0 7.50192e-40 0 8.02825e-40 0 8.57243e-40 0 9.13443e-40 0 9.71432e-40 0 1.0312e-39 0 1.09276e-39 0 1.1561e-39 0 1.22122e-39 0 1.28813e-39 0 1.35683e-39 0 1.42731e-39
0.111377 4.58505e-16 4.585e-16 5.24399e-21 1.14371e-05 0.000200059 0 2.56578e-42 0 1.05616e-41 0 4.28587e-41 0 9.78779e-41 0 1.73987e-40 0 2.75962e-40 0 3.97369e-40 0 5.40851e-40 0 7.06403e-40 0 8.94028e-40 0 1.10373e-39 0 1.3355e-39 0 1.58935e-39 0 1.86527e-39 0 2.16327e-39 0 2.51799e-39 0 2.86491e-39 0 3.23422e-39 0 3.62591e-39 0 4.03998e-39 0 4.47644e-39 0 4.93528e-39 0 5.41651e-39 0 5.92012e-39 0 6.44612e-39 0 6.9945e-39 0 7.56527e-39 0 8.15843e-39 0 8.77398e-39 0 9.41191e-39 0 1.00722e-38 0 1.07549e-38 0 1.146e-38 0 1.21875e-38 0 1.29374e-38 0 1.37096e-38 0 1.45043e-38 0 1.53213e-38 0 1.61607e-38 0 1.70225e-38 0 1.79068e-38
