# 4.217e-08 1 3 : grain size, compostion index, size index
# Heating and cooling timescale: 1.58588e+06 0.0261429
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41
0.05 5.50955e-17 5.5095e-17 4.82075e-22 8.74982e-06 3.10865e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0525665 6.08968e-17 6.08962e-17 5.32836e-22 8.74982e-06 3.43598e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0552647 6.73089e-17 6.73083e-17 5.88941e-22 8.74982e-06 3.79777e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0581015 7.43962e-17 7.43955e-17 6.50953e-22 8.74982e-06 4.19765e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45 0 5.60519e-45 0 7.00649e-45 0 7.00649e-45 0 7.00649e-45 0 8.40779e-45 0 8.40779e-45 0 9.80909e-45 0 9.80909e-45 0 1.12104e-44 0 1.12104e-44
0.0610839 8.22297e-17 8.2229e-17 7.19495e-22 8.74982e-06 4.63964e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.54143e-44 0 1.96182e-44 0 2.24208e-44 0 2.66247e-44 0 3.08286e-44 0 3.50325e-44 0 4.06377e-44 0 4.48416e-44 0 5.04467e-44 0 5.74532e-44 0 6.30584e-44 0 7.00649e-44 0 7.70714e-44 0 8.54792e-44 0 9.24857e-44 0 1.02295e-43 0 1.12104e-43 0 1.21913e-43 0 1.31722e-43 0 1.41531e-43 0 1.49939e-43 0 1.62551e-43 0 1.73761e-43 0 1.86373e-43 0 2.00386e-43 0 2.14399e-43
0.0642193 9.08881e-17 9.08873e-17 7.95255e-22 8.74982e-06 5.12818e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.70451e-43 0 3.237e-43 0 3.85357e-43 0 4.45613e-43 0 5.14277e-43 0 5.88545e-43 0 6.71222e-43 0 7.59504e-43 0 8.44983e-43 0 9.51482e-43 0 1.04957e-42 0 1.17289e-42 0 1.28639e-42 0 1.4069e-42 0 1.53442e-42 0 1.69697e-42 0 1.84271e-42 0 1.99545e-42 0 2.1566e-42 0 2.32756e-42 0 2.46629e-42 0 2.65126e-42 0 2.84744e-42 0 3.05343e-42 0 3.25942e-42 0 3.48643e-42
0.0675157 1.00458e-16 1.00457e-16 8.78991e-22 8.74982e-06 5.66815e-05 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 2.8026e-45 0 4.2039e-45 0 5.60519e-45 0 7.00649e-45 0 9.80909e-45 0 1.26117e-44 0 1.54143e-44 0 1.82169e-44 0 2.24208e-44 0 4.05536e-42 0 4.82887e-42 0 5.7145e-42 0 6.60432e-42 0 7.58102e-42 0 8.66563e-42 0 9.84973e-42 0 1.11165e-41 0 1.23398e-41 0 1.38476e-41 0 1.52503e-41 0 1.70006e-41 0 1.86191e-41 0 2.033e-41 0 2.21489e-41 0 2.44246e-41 0 2.64873e-41 0 2.86411e-41 0 3.09056e-41 0 3.33145e-41 0 3.52973e-41 0 3.78897e-41 0 4.06363e-41 0 4.35243e-41 0 4.64124e-41 0 4.95723e-41
0.0709813 1.11036e-16 1.11035e-16 9.71544e-22 8.74982e-06 6.26498e-05 0 0 0 0 0 2.8026e-45 0 1.4013e-44 0 3.36312e-44 0 7.00649e-44 0 1.24716e-43 0 1.96182e-43 0 2.78858e-43 0 3.8816e-43 0 5.05869e-43 0 6.34788e-43 0 7.65109e-43 0 9.16449e-43 0 1.06499e-42 0 5.49057e-41 0 6.48731e-41 0 7.61914e-41 0 8.75966e-41 0 1.00067e-40 0 1.13847e-40 0 1.28841e-40 0 1.44835e-40 0 1.60358e-40 0 1.7927e-40 0 1.96981e-40 0 2.1879e-40 0 2.39116e-40 0 2.6056e-40 0 2.83313e-40 0 3.11402e-40 0 3.37067e-40 0 3.63829e-40 0 3.91928e-40 0 4.21743e-40 0 4.46681e-40 0 4.78719e-40 0 5.12571e-40 0 5.48128e-40 0 5.83702e-40 0 6.22489e-40
0.0746248 1.22728e-16 1.22726e-16 1.07384e-21 8.74982e-06 6.92465e-05 0 0 0 5.60519e-45 0 1.37327e-43 0 6.7963e-43 0 1.52181e-42 0 3.11929e-42 0 5.42022e-42 0 8.4148e-42 0 1.17765e-41 0 1.61724e-41 0 2.08569e-41 0 2.5924e-41 0 3.10962e-41 0 3.69747e-41 0 4.27704e-41 0 7.12335e-40 0 8.29409e-40 0 9.61016e-40 0 1.09383e-39 0 1.23816e-39 0 1.39655e-39 0 1.56794e-39 0 1.75011e-39 0 1.92783e-39 0 2.14102e-39 0 2.34231e-39 0 2.58622e-39 0 2.81539e-39 0 3.05652e-39 0 3.31164e-39 0 3.62176e-39 0 3.9077e-39 0 4.20522e-39 0 4.51698e-39 0 4.84683e-39 0 5.12746e-39 0 5.48094e-39 0 5.85353e-39 0 6.24402e-39 0 6.63504e-39 0 7.05938e-39
0.0784553 1.3565e-16 1.35649e-16 1.18691e-21 8.74982e-06 7.65378e-05 0 4.2039e-45 0 2.55036e-43 0 5.84762e-42 0 2.69918e-41 0 5.79843e-41 0 1.15269e-40 0 1.95764e-40 0 2.9858e-40 0 4.12624e-40 0 5.59572e-40 0 7.1486e-40 0 8.81726e-40 0 1.05127e-39 0 1.2426e-39 0 1.43086e-39 0 9.78811e-39 0 1.11214e-38 0 1.25936e-38 0 1.40799e-38 0 1.5677e-38 0 1.74079e-38 0 1.92622e-38 0 2.122e-38 0 2.31413e-38 0 2.5392e-38 0 2.75388e-38 0 3.00781e-38 0 3.2489e-38 0 3.50137e-38 0 3.76708e-38 0 4.08304e-38 0 4.37776e-38 0 4.68335e-38 0 5.00241e-38 0 5.33835e-38 0 5.6304e-38 0 5.98869e-38 0 6.36493e-38 0 6.75785e-38 0 7.15157e-38 0 7.57598e-38
