# 3.94133e-08 1 1 : grain size, compostion index, size index
# Heating and cooling timescale: 3.20335e+06 0.0423091
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41
0.05 2.58585e-16 2.58579e-16 6.2255e-21 2.40752e-05 0.000361919 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0525665 2.67376e-16 2.6737e-16 5.92928e-21 2.21758e-05 0.000325358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0552647 2.80444e-16 2.80438e-16 5.87293e-21 2.09415e-05 0.000291194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45
0.0581015 3.07352e-16 3.07346e-16 6.3161e-21 2.055e-05 0.000258826 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 5.60519e-45 0 7.00649e-45 0 7.00649e-45 0 9.80909e-45 0 1.12104e-44 0 1.26117e-44 0 1.4013e-44 0 1.68156e-44 0 1.82169e-44 0 2.10195e-44 0 2.24208e-44 0 2.52234e-44 0 2.8026e-44 0 3.08286e-44 0 3.36312e-44 0 3.64338e-44 0 3.92364e-44 0 4.34403e-44 0 4.76441e-44 0 5.04467e-44 0 5.46506e-44 0 5.88545e-44 0 6.16571e-44 0 6.72623e-44 0 7.00649e-44 0 7.56701e-44 0 7.9874e-44 0 8.40779e-44 0 9.10844e-44
0.0610839 3.48135e-16 3.48128e-16 7.09353e-21 2.03758e-05 0.000229269 0 0 0 0 0 0 0 2.8026e-45 0 7.00649e-45 0 1.26117e-44 0 1.96182e-44 0 2.94273e-44 0 4.06377e-44 0 5.46506e-44 0 7.14662e-44 0 9.10844e-44 0 1.12104e-43 0 1.37327e-43 0 1.61149e-43 0 1.93379e-43 0 2.24208e-43 0 2.57839e-43 0 2.99878e-43 0 3.40516e-43 0 3.82554e-43 0 4.30199e-43 0 4.72238e-43 0 5.25487e-43 0 5.8294e-43 0 6.44597e-43 0 6.97847e-43 0 7.65109e-43 0 8.23963e-43 0 8.99634e-43 0 9.80909e-43 0 1.04817e-42 0 1.13785e-42 0 1.20932e-42 0 1.28359e-42 0 1.38588e-42 0 1.46576e-42 0 1.57786e-42 0 1.66474e-42 0 1.75302e-42 0 1.87914e-42
0.0642193 3.87333e-16 3.87326e-16 7.67896e-21 1.98252e-05 0.000203566 0 0 0 0 0 0 0 5.74532e-44 0 1.26117e-43 0 2.22806e-43 0 3.58732e-43 0 5.35296e-43 0 7.51096e-43 0 1.00193e-42 0 1.30461e-42 0 1.63532e-42 0 2.01787e-42 0 2.45367e-42 0 2.89648e-42 0 3.44439e-42 0 3.9895e-42 0 4.58365e-42 0 5.32073e-42 0 6.03679e-42 0 6.78369e-42 0 7.61606e-42 0 8.35875e-42 0 9.29762e-42 0 1.02953e-41 0 1.13743e-41 0 1.2302e-41 0 1.34903e-41 0 1.45076e-41 0 1.58263e-41 0 1.7243e-41 0 1.84117e-41 0 1.99601e-41 0 2.12269e-41 0 2.25315e-41 0 2.42789e-41 0 2.56858e-41 0 2.7621e-41 0 2.91344e-41 0 3.06884e-41 0 3.28436e-41
0.0675157 4.11203e-16 4.11195e-16 7.78709e-21 1.89374e-05 0.000181899 0 0 0 0 0 1.4013e-45 0 9.12245e-43 0 1.95902e-42 0 3.44019e-42 0 5.48608e-42 0 8.12193e-42 0 1.13435e-41 0 1.50556e-41 0 1.95383e-41 0 2.44218e-41 0 3.00424e-41 0 3.64408e-41 0 4.29652e-41 0 5.09624e-41 0 5.89456e-41 0 6.76309e-41 0 7.82905e-41 0 8.87078e-41 0 9.95931e-41 0 1.11662e-40 0 1.22545e-40 0 1.36135e-40 0 1.50541e-40 0 1.66097e-40 0 1.79646e-40 0 1.96762e-40 0 2.11602e-40 0 2.30539e-40 0 2.50855e-40 0 2.67851e-40 0 2.90003e-40 0 3.08406e-40 0 3.27376e-40 0 3.52313e-40 0 3.72729e-40 0 4.00308e-40 0 4.22234e-40 0 4.44744e-40 0 4.75385e-40
0.0709813 4.12543e-16 4.12536e-16 7.36937e-21 1.78633e-05 0.000164319 0 1.4013e-45 0 1.12104e-44 0 9.24857e-44 0 1.22796e-41 0 2.56213e-41 0 4.42992e-41 0 6.98099e-41 0 1.02422e-40 0 1.42075e-40 0 1.87672e-40 0 2.42401e-40 0 3.02022e-40 0 3.70384e-40 0 4.47945e-40 0 5.27283e-40 0 6.23679e-40 0 7.20298e-40 0 8.2525e-40 0 9.52792e-40 0 1.07806e-39 0 1.20892e-39 0 1.35356e-39 0 1.4853e-39 0 1.64783e-39 0 1.81985e-39 0 2.00526e-39 0 2.16866e-39 0 2.37235e-39 0 2.55109e-39 0 2.7759e-39 0 3.01667e-39 0 3.22089e-39 0 3.48292e-39 0 3.70377e-39 0 3.93141e-39 0 4.2257e-39 0 4.47039e-39 0 4.79518e-39 0 5.05765e-39 0 5.32712e-39 0 5.68717e-39
0.0746248 3.90762e-16 3.90756e-16 6.52641e-21 1.67017e-05 0.000150888 0 3.78351e-44 0 4.65231e-43 0 3.75828e-42 0 1.4844e-40 0 2.93376e-40 0 4.92549e-40 0 7.6034e-40 0 1.09903e-39 0 1.50798e-39 0 1.97655e-39 0 2.53505e-39 0 3.14321e-39 0 3.83744e-39 0 4.62186e-39 0 5.42681e-39 0 6.3956e-39 0 7.37038e-39 0 8.42741e-39 0 9.69893e-39 0 1.09537e-38 0 1.22643e-38 0 1.37081e-38 0 1.50361e-38 0 1.66547e-38 0 1.8365e-38 0 2.0205e-38 0 2.18452e-38 0 2.38631e-38 0 2.5655e-38 0 2.78766e-38 0 3.02516e-38 0 3.22935e-38 0 3.48734e-38 0 3.70786e-38 0 3.93515e-38 0 4.22417e-38 0 4.46817e-38 0 4.78649e-38 0 5.04788e-38 0 5.31621e-38 0 5.6683e-38
0.0784553 3.49821e-16 3.49816e-16 5.40118e-21 1.54398e-05 0.000141796 0 1.45595e-42 0 1.59874e-41 0 1.19014e-40 0 1.79725e-39 0 3.2184e-39 0 5.10015e-39 0 7.55768e-39 0 1.06069e-38 0 1.42424e-38 0 1.83783e-38 0 2.32545e-38 0 2.85526e-38 0 3.45595e-38 0 4.13063e-38 0 4.82476e-38 0 5.65046e-38 0 6.48423e-38 0 7.38596e-38 0 8.45797e-38 0 9.52084e-38 0 1.06303e-37 0 1.18475e-37 0 1.29785e-37 0 1.43386e-37 0 1.57731e-37 0 1.73126e-37 0 1.87013e-37 0 2.03859e-37 0 2.19e-37 0 2.37491e-37 0 2.57218e-37 0 2.74413e-37 0 2.95792e-37 0 3.14329e-37 0 3.3343e-37 0 3.57313e-37 0 3.77785e-37 0 4.04023e-37 0 4.2592e-37 0 4.48394e-37 0 4.77341e-37
0.0824824 2.96584e-16 2.9658e-16 4.13608e-21 1.39457e-05 0.00013688 0 4.40863e-41 0 4.31318e-40 0 2.97561e-39 0 2.38802e-38 0 3.7798e-38 0 5.50106e-38 0 7.62929e-38 0 1.01739e-37 0 1.3131e-37 0 1.64422e-37 0 2.02672e-37 0 2.43946e-37 0 2.90143e-37 0 3.41458e-37 0 3.94306e-37 0 4.56061e-37 0 5.1859e-37 0 5.85864e-37 0 6.64534e-37 0 7.42883e-37 0 8.24517e-37 0 9.13508e-37 0 9.97126e-37 0 1.09599e-36 0 1.19993e-36 0 1.31104e-36 0 1.41261e-36 0 1.53374e-36 0 1.64405e-36 0 1.77639e-36 0 1.91712e-36 0 2.04168e-36 0 2.19367e-36 0 2.32754e-36 0 2.46538e-36 0 2.63442e-36 0 2.78175e-36 0 2.96679e-36 0 3.12398e-36 0 3.28522e-36 0 3.48861e-36
0.0867162 2.71765e-16 2.71762e-16 3.2606e-21 1.19979e-05 0.00012626 0 1.20107e-39 0 1.05349e-38 0 6.76256e-38 0 3.81871e-37 0 5.50888e-37 0 7.42695e-37 0 9.62313e-37 0 1.21031e-36 0 1.48641e-36 0 1.78675e-36 0 2.12158e-36 0 2.47746e-36 0 2.8664e-36 0 3.28961e-36 0 3.72441e-36 0 4.21755e-36 0 4.71727e-36 0 5.24917e-36 0 5.85492e-36 0 6.46046e-36 0 7.08847e-36 0 7.76528e-36 0 8.4099e-36 0 9.15268e-36 0 9.92908e-36 0 1.07529e-35 0 1.15186e-35 0 1.24094e-35 0 1.32343e-35 0 1.41993e-35 0 1.52194e-35 0 1.61399e-35 0 1.72344e-35 0 1.82176e-35 0 1.92277e-35 0 2.04347e-35 0 2.15086e-35 0 2.28212e-35 0 2.39612e-35 0 2.51286e-35 0 2.65617e-35
