# 3.55e-08 2 0 : grain size, compostion index, size index
# Heating and cooling timescale: 4.38397e+06 0.020145
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41
0.05 1.88971e-16 1.88967e-16 3.32506e-21 1.75956e-05 0.0002936 0 0 0 0 0 1.4013e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45 0 7.00649e-45 0 8.40779e-45 0 9.80909e-45 0 1.12104e-44 0 1.26117e-44 0 1.54143e-44 0 1.68156e-44 0 1.82169e-44 0 1.96182e-44 0 2.24208e-44 0 2.38221e-44 0 2.66247e-44 0 2.94273e-44 0 3.08286e-44 0 3.36312e-44 0 3.64338e-44 0 3.92364e-44 0 4.2039e-44 0 4.48416e-44 0 4.76441e-44 0 5.04467e-44 0 5.32493e-44 0 5.60519e-44 0 5.88545e-44 0 6.30584e-44 0 6.5861e-44 0 7.00649e-44 0 7.28675e-44 0 7.70714e-44 0 7.9874e-44 0 8.40779e-44 0 8.82818e-44 0 9.24857e-44 0 9.66896e-44
0.0525665 1.95394e-16 1.95391e-16 3.16678e-21 1.62072e-05 0.000263942 0 0 0 0 0 7.56701e-44 0 1.16308e-43 0 1.58347e-43 0 2.03188e-43 0 2.4803e-43 0 2.95674e-43 0 3.43318e-43 0 3.93765e-43 0 4.45613e-43 0 5.00264e-43 0 5.54914e-43 0 6.12367e-43 0 6.69821e-43 0 7.30076e-43 0 7.91734e-43 0 8.56193e-43 0 9.20653e-43 0 9.87915e-43 0 1.05658e-42 0 1.12524e-42 0 1.19811e-42 0 1.27098e-42 0 1.34525e-42 0 1.42232e-42 0 1.50079e-42 0 1.58066e-42 0 1.66194e-42 0 1.74462e-42 0 1.82869e-42 0 1.91558e-42 0 2.00386e-42 0 2.09354e-42 0 2.18462e-42 0 2.27711e-42 0 2.371e-42 0 2.46769e-42 0 2.56578e-42 0 2.66527e-42 0 2.76616e-42
0.0552647 2.04943e-16 2.0494e-16 3.13662e-21 1.53048e-05 0.000236227 0 0 0 0 0 3.12069e-42 0 4.72238e-42 0 6.35209e-42 0 8.00842e-42 0 9.69418e-42 0 1.14066e-41 0 1.3147e-41 0 1.49154e-41 0 1.67119e-41 0 1.8535e-41 0 2.03875e-41 0 2.22666e-41 0 2.41738e-41 0 2.6109e-41 0 2.80708e-41 0 3.00621e-41 0 3.20799e-41 0 3.41258e-41 0 3.61997e-41 0 3.83017e-41 0 4.04303e-41 0 4.25883e-41 0 4.47729e-41 0 4.69855e-41 0 4.92262e-41 0 5.14935e-41 0 5.37902e-41 0 5.61136e-41 0 5.8465e-41 0 6.08444e-41 0 6.32504e-41 0 6.56859e-41 0 6.81479e-41 0 7.06381e-41 0 7.31562e-41 0 7.57023e-41 0 7.82751e-41 0 8.08773e-41 0 8.35062e-41
0.0581015 2.24607e-16 2.24603e-16 3.37326e-21 1.50185e-05 0.000209969 0 0 0 8.40779e-45 0 1.12697e-40 0 1.69685e-40 0 2.27099e-40 0 2.8494e-40 0 3.43209e-40 0 4.01904e-40 0 4.61022e-40 0 5.20571e-40 0 5.80544e-40 0 6.40946e-40 0 7.01774e-40 0 7.63027e-40 0 8.24708e-40 0 8.86813e-40 0 9.49343e-40 0 1.01231e-39 0 1.07569e-39 0 1.13951e-39 0 1.20374e-39 0 1.26841e-39 0 1.3335e-39 0 1.39902e-39 0 1.46497e-39 0 1.53134e-39 0 1.59814e-39 0 1.66536e-39 0 1.73302e-39 0 1.8011e-39 0 1.8696e-39 0 1.93854e-39 0 2.00788e-39 0 2.07767e-39 0 2.14789e-39 0 2.21852e-39 0 2.28959e-39 0 2.36108e-39 0 2.43299e-39 0 2.50534e-39 0 2.57811e-39
0.0610839 2.54407e-16 2.54404e-16 3.78837e-21 1.4891e-05 0.000185993 0 2.8026e-45 0 4.62428e-43 0 3.54751e-39 0 5.33015e-39 0 7.11864e-39 0 8.91308e-39 0 1.07135e-38 0 1.25197e-38 0 1.43318e-38 0 1.61499e-38 0 1.79738e-38 0 1.98037e-38 0 2.16396e-38 0 2.34812e-38 0 2.53288e-38 0 2.71823e-38 0 2.90416e-38 0 3.09071e-38 0 3.27783e-38 0 3.46553e-38 0 3.65383e-38 0 3.84274e-38 0 4.03222e-38 0 4.22229e-38 0 4.41297e-38 0 4.60423e-38 0 4.79607e-38 0 4.9885e-38 0 5.18154e-38 0 5.37516e-38 0 5.56936e-38 0 5.76418e-38 0 5.95954e-38 0 6.15552e-38 0 6.35213e-38 0 6.54927e-38 0 6.74704e-38 0 6.94539e-38 0 7.14431e-38 0 7.34385e-38 0 7.54394e-38
0.0642193 2.83045e-16 2.83041e-16 4.10088e-21 1.44884e-05 0.000165142 0 1.5134e-43 0 2.03623e-41 0 9.29521e-38 0 1.39535e-37 0 1.86186e-37 0 2.3291e-37 0 2.79704e-37 0 3.26568e-37 0 3.73502e-37 0 4.20508e-37 0 4.67583e-37 0 5.1473e-37 0 5.61948e-37 0 6.09235e-37 0 6.56594e-37 0 7.04022e-37 0 7.51519e-37 0 7.99093e-37 0 8.46732e-37 0 8.94442e-37 0 9.42222e-37 0 9.90077e-37 0 1.038e-36 0 1.08599e-36 0 1.13406e-36 0 1.18219e-36 0 1.23039e-36 0 1.27867e-36 0 1.32702e-36 0 1.37543e-36 0 1.42392e-36 0 1.47248e-36 0 1.5211e-36 0 1.5698e-36 0 1.61858e-36 0 1.66741e-36 0 1.71632e-36 0 1.76531e-36 0 1.81435e-36 0 1.86348e-36 0 1.91267e-36
0.0675157 3.00477e-16 3.00473e-16 4.15844e-21 1.38394e-05 0.000147567 0 6.65337e-42 0 7.08412e-40 0 1.98263e-36 0 2.97503e-36 0 3.96811e-36 0 4.96192e-36 0 5.95646e-36 0 6.95168e-36 0 7.9476e-36 0 8.94427e-36 0 9.94161e-36 0 1.09397e-35 0 1.19385e-35 0 1.2938e-35 0 1.39382e-35 0 1.49391e-35 0 1.59407e-35 0 1.69431e-35 0 1.79461e-35 0 1.89499e-35 0 1.99543e-35 0 2.09596e-35 0 2.19654e-35 0 2.2972e-35 0 2.39794e-35 0 2.49874e-35 0 2.59961e-35 0 2.70055e-35 0 2.80157e-35 0 2.90266e-35 0 3.00382e-35 0 3.10505e-35 0 3.20634e-35 0 3.30771e-35 0 3.40917e-35 0 3.51067e-35 0 3.61226e-35 0 3.71392e-35 0 3.81564e-35 0 3.91744e-35 0 4.0193e-35
0.0709813 3.01446e-16 3.01442e-16 3.93521e-21 1.30544e-05 0.000133306 0 2.2797e-40 0 1.94646e-38 0 3.43396e-35 0 5.15187e-35 0 6.87033e-35 0 8.58943e-35 0 1.03092e-34 0 1.20295e-34 0 1.37503e-34 0 1.54718e-34 0 1.71939e-34 0 1.89167e-34 0 2.064e-34 0 2.23639e-34 0 2.40884e-34 0 2.58135e-34 0 2.75391e-34 0 2.92656e-34 0 3.09925e-34 0 3.272e-34 0 3.4448e-34 0 3.61769e-34 0 3.79062e-34 0 3.96361e-34 0 4.13667e-34 0 4.30978e-34 0 4.48295e-34 0 4.65618e-34 0 4.82948e-34 0 5.00284e-34 0 5.17625e-34 0 5.34974e-34 0 5.52325e-34 0 5.69684e-34 0 5.87052e-34 0 6.04422e-34 0 6.21801e-34 0 6.39185e-34 0 6.56573e-34 0 6.7397e-34 0 6.9137e-34
0.0746248 2.85521e-16 2.85518e-16 3.48493e-21 1.22055e-05 0.000122412 0 6.14951e-39 0 4.25717e-37 0 4.85974e-34 0 7.29029e-34 0 9.72121e-34 0 1.21526e-33 0 1.45845e-33 0 1.70167e-33 0 1.94493e-33 0 2.18825e-33 0 2.4316e-33 0 2.675e-33 0 2.91844e-33 0 3.16192e-33 0 3.40545e-33 0 3.64902e-33 0 3.89262e-33 0 4.1363e-33 0 4.37999e-33 0 4.62373e-33 0 4.86751e-33 0 5.11135e-33 0 5.35521e-33 0 5.59913e-33 0 5.8431e-33 0 6.08709e-33 0 6.33113e-33 0 6.57521e-33 0 6.81936e-33 0 7.06353e-33 0 7.30774e-33 0 7.55201e-33 0 7.79628e-33 0 8.04063e-33 0 8.28505e-33 0 8.52946e-33 0 8.77395e-33 0 9.01848e-33 0 9.26302e-33 0 9.50764e-33 0 9.75226e-33
0.0784553 2.55601e-16 2.55598e-16 2.884e-21 1.12832e-05 0.000115038 0 1.31907e-37 0 7.48173e-36 0 5.66442e-33 0 8.49705e-33 0 1.13299e-32 0 1.4163e-32 0 1.69965e-32 0 1.98301e-32 0 2.2664e-32 0 2.54982e-32 0 2.83326e-32 0 3.11674e-32 0 3.40024e-32 0 3.68376e-32 0 3.96731e-32 0 4.25088e-32 0 4.53448e-32 0 4.81812e-32 0 5.10177e-32 0 5.38545e-32 0 5.66915e-32 0 5.9529e-32 0 6.23665e-32 0 6.52044e-32 0 6.80426e-32 0 7.0881e-32 0 7.37195e-32 0 7.65584e-32 0 7.93977e-32 0 8.22371e-32 0 8.50768e-32 0 8.7917e-32 0 9.07568e-32 0 9.35973e-32 0 9.64384e-32 0 9.92791e-32 0 1.02121e-31 0 1.04962e-31 0 1.07804e-31 0 1.10646e-31 0 1.13488e-31
0.0824824 2.167e-16 2.16698e-16 2.20846e-21 1.01913e-05 0.00011105 0 2.27363e-36 0 1.06716e-34 0 5.48514e-32 0 8.22795e-32 0 1.09708e-31 0 1.37139e-31 0 1.64571e-31 0 1.92005e-31 0 2.19439e-31 0 2.46875e-31 0 2.74312e-31 0 3.01751e-31 0 3.29192e-31 0 3.56633e-31 0 3.84076e-31 0 4.1152e-31 0 4.38965e-31 0 4.66414e-31 0 4.93862e-31 0 5.21311e-31 0 5.48762e-31 0 5.76216e-31 0 6.03669e-31 0 6.31124e-31 0 6.58582e-31 0 6.8604e-31 0 7.13498e-31 0 7.40959e-31 0 7.68422e-31 0 7.95885e-31 0 8.2335e-31 0 8.50818e-31 0 8.78282e-31 0 9.05751e-31 0 9.33225e-31 0 9.60694e-31 0 9.88169e-31 0 1.01564e-30 0 1.04312e-30 0 1.0706e-30 0 1.09807e-30
