# 3e-08 0 0 : grain size, compostion index, size index
# Heating and cooling timescale: 5.31824e+06 0.00480181
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.0001 0.001 0.01 0.05 0.1 0.15 0.2 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20 20.5 21 21.5 22 22.5 23 23.5 24 24.5 25 25.5 26 26.5 27 27.5 28 28.5 29 29.5 30
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41 EqEm42 StEm42 EqEm43 StEm43 EqEm44 StEm44 EqEm45 StEm45 EqEm46 StEm46 EqEm47 StEm47 EqEm48 StEm48 EqEm49 StEm49 EqEm50 StEm50 EqEm51 StEm51 EqEm52 StEm52 EqEm53 StEm53 EqEm54 StEm54 EqEm55 StEm55 EqEm56 StEm56 EqEm57 StEm57 EqEm58 StEm58 EqEm59 StEm59 EqEm60 StEm60 EqEm61 StEm61 EqEm62 StEm62 EqEm63 StEm63 EqEm64 StEm64 EqEm65 StEm65 EqEm66 StEm66 EqEm67 StEm67 EqEm68 StEm68
0.05 7.47499e-17 7.47492e-17 7.47642e-22 1.00019e-05 0.00020986 0 0 0 4.62428e-43 0 1.51437e-38 0 7.57187e-38 0 1.51437e-37 0 2.27156e-37 0 3.02875e-37 0 3.78594e-37 0 7.57188e-37 0 1.51438e-36 0 2.27156e-36 0 3.02875e-36 0 3.78594e-36 0 4.54314e-36 0 5.30033e-36 0 6.05752e-36 0 6.81471e-36 0 7.5719e-36 0 8.3291e-36 0 9.08629e-36 0 9.84349e-36 0 1.06007e-35 0 1.13579e-35 0 1.21151e-35 0 1.28723e-35 0 1.36295e-35 0 1.43867e-35 0 1.51439e-35 0 1.59011e-35 0 1.66583e-35 0 1.74155e-35 0 1.81727e-35 0 1.89299e-35 0 1.96871e-35 0 2.04443e-35 0 2.12015e-35 0 2.19587e-35 0 2.27159e-35 0 2.34731e-35 0 2.42303e-35 0 2.49875e-35 0 2.57447e-35 0 2.65019e-35 0 2.72591e-35 0 2.80163e-35 0 2.87735e-35 0 2.95307e-35 0 3.02879e-35 0 3.10451e-35 0 3.18024e-35 0 3.25596e-35 0 3.33168e-35 0 3.4074e-35 0 3.48312e-35 0 3.55884e-35 0 3.63456e-35 0 3.71028e-35 0 3.786e-35 0 3.86173e-35 0 3.93745e-35 0 4.01317e-35 0 4.08889e-35 0 4.16461e-35 0 4.24033e-35 0 4.31605e-35 0 4.39178e-35 0 4.4675e-35 0 4.54322e-35
0.0525665 8.11463e-17 8.11455e-17 7.4734e-22 9.20979e-06 0.000188633 0 0 0 1.52882e-41 0 3.08911e-37 0 1.54455e-36 0 3.08911e-36 0 4.63366e-36 0 6.17822e-36 0 7.72277e-36 0 1.54455e-35 0 3.08911e-35 0 4.63367e-35 0 6.17823e-35 0 7.72279e-35 0 9.26735e-35 0 1.08119e-34 0 1.23565e-34 0 1.3901e-34 0 1.54456e-34 0 1.69902e-34 0 1.85347e-34 0 2.00793e-34 0 2.16239e-34 0 2.31685e-34 0 2.4713e-34 0 2.62576e-34 0 2.78022e-34 0 2.93467e-34 0 3.08913e-34 0 3.24359e-34 0 3.39805e-34 0 3.55251e-34 0 3.70696e-34 0 3.86142e-34 0 4.01588e-34 0 4.17034e-34 0 4.3248e-34 0 4.47926e-34 0 4.63371e-34 0 4.78817e-34 0 4.94263e-34 0 5.09709e-34 0 5.25155e-34 0 5.40601e-34 0 5.56047e-34 0 5.71493e-34 0 5.86939e-34 0 6.02385e-34 0 6.17831e-34 0 6.33277e-34 0 6.48723e-34 0 6.64169e-34 0 6.79615e-34 0 6.95061e-34 0 7.10507e-34 0 7.25953e-34 0 7.41399e-34 0 7.56845e-34 0 7.72291e-34 0 7.87737e-34 0 8.03183e-34 0 8.18629e-34 0 8.34075e-34 0 8.49521e-34 0 8.64967e-34 0 8.80413e-34 0 8.95859e-34 0 9.11306e-34 0 9.26752e-34
0.0552647 8.82395e-17 8.82387e-17 7.50542e-22 8.50574e-06 0.000169422 0 0 0 4.24557e-40 0 5.42337e-36 0 2.71168e-35 0 5.42337e-35 0 8.13506e-35 0 1.08467e-34 0 1.35584e-34 0 2.71169e-34 0 5.42337e-34 0 8.13507e-34 0 1.08468e-33 0 1.35585e-33 0 1.62702e-33 0 1.89819e-33 0 2.16936e-33 0 2.44053e-33 0 2.7117e-33 0 2.98287e-33 0 3.25404e-33 0 3.52521e-33 0 3.79638e-33 0 4.06755e-33 0 4.33872e-33 0 4.6099e-33 0 4.88107e-33 0 5.15224e-33 0 5.42341e-33 0 5.69459e-33 0 5.96576e-33 0 6.23693e-33 0 6.5081e-33 0 6.77928e-33 0 7.05045e-33 0 7.32163e-33 0 7.5928e-33 0 7.86397e-33 0 8.13515e-33 0 8.40632e-33 0 8.6775e-33 0 8.94867e-33 0 9.21985e-33 0 9.49102e-33 0 9.7622e-33 0 1.00334e-32 0 1.03045e-32 0 1.05757e-32 0 1.08469e-32 0 1.11181e-32 0 1.13893e-32 0 1.16604e-32 0 1.19316e-32 0 1.22028e-32 0 1.2474e-32 0 1.27451e-32 0 1.30163e-32 0 1.32875e-32 0 1.35587e-32 0 1.38298e-32 0 1.4101e-32 0 1.43722e-32 0 1.46434e-32 0 1.49146e-32 0 1.51857e-32 0 1.54569e-32 0 1.57281e-32 0 1.59993e-32 0 1.62704e-32
0.0581015 9.62542e-17 9.62534e-17 7.58426e-22 7.87941e-06 0.000152038 0 0 0 1.0009e-38 0 8.26832e-35 0 4.13416e-34 0 8.26833e-34 0 1.24025e-33 0 1.65367e-33 0 2.06708e-33 0 4.13416e-33 0 8.26833e-33 0 1.24025e-32 0 1.65367e-32 0 2.06709e-32 0 2.4805e-32 0 2.89392e-32 0 3.30734e-32 0 3.72076e-32 0 4.13418e-32 0 4.5476e-32 0 4.96102e-32 0 5.37444e-32 0 5.78786e-32 0 6.20128e-32 0 6.6147e-32 0 7.02812e-32 0 7.44155e-32 0 7.85497e-32 0 8.26839e-32 0 8.68181e-32 0 9.09524e-32 0 9.50866e-32 0 9.92208e-32 0 1.03355e-31 0 1.07489e-31 0 1.11624e-31 0 1.15758e-31 0 1.19892e-31 0 1.24026e-31 0 1.28161e-31 0 1.32295e-31 0 1.36429e-31 0 1.40563e-31 0 1.44698e-31 0 1.48832e-31 0 1.52966e-31 0 1.571e-31 0 1.61235e-31 0 1.65369e-31 0 1.69503e-31 0 1.73637e-31 0 1.77772e-31 0 1.81906e-31 0 1.8604e-31 0 1.90175e-31 0 1.94309e-31 0 1.98443e-31 0 2.02577e-31 0 2.06712e-31 0 2.10846e-31 0 2.1498e-31 0 2.19115e-31 0 2.23249e-31 0 2.27383e-31 0 2.31518e-31 0 2.35652e-31 0 2.39786e-31 0 2.43921e-31 0 2.48055e-31
0.0610839 1.05276e-16 1.05275e-16 7.7148e-22 7.32817e-06 0.000136271 0 0 0 2.01879e-37 0 1.10197e-33 0 5.50983e-33 0 1.10197e-32 0 1.65295e-32 0 2.20393e-32 0 2.75492e-32 0 5.50983e-32 0 1.10197e-31 0 1.65295e-31 0 2.20394e-31 0 2.75492e-31 0 3.30591e-31 0 3.85689e-31 0 4.40788e-31 0 4.95887e-31 0 5.50985e-31 0 6.06084e-31 0 6.61183e-31 0 7.16282e-31 0 7.71381e-31 0 8.2648e-31 0 8.81579e-31 0 9.36678e-31 0 9.91777e-31 0 1.04688e-30 0 1.10197e-30 0 1.15707e-30 0 1.21217e-30 0 1.26727e-30 0 1.32237e-30 0 1.37747e-30 0 1.43257e-30 0 1.48767e-30 0 1.54277e-30 0 1.59787e-30 0 1.65297e-30 0 1.70807e-30 0 1.76317e-30 0 1.81827e-30 0 1.87337e-30 0 1.92847e-30 0 1.98357e-30 0 2.03867e-30 0 2.09376e-30 0 2.14886e-30 0 2.20396e-30 0 2.25906e-30 0 2.31416e-30 0 2.36926e-30 0 2.42436e-30 0 2.47946e-30 0 2.53456e-30 0 2.58966e-30 0 2.64476e-30 0 2.69986e-30 0 2.75496e-30 0 2.81006e-30 0 2.86516e-30 0 2.92026e-30 0 2.97536e-30 0 3.03047e-30 0 3.08557e-30 0 3.14067e-30 0 3.19577e-30 0 3.25087e-30 0 3.30597e-30
0.0642193 1.15523e-16 1.15522e-16 7.90827e-22 6.84561e-06 0.00012197 0 0 0 3.5133e-36 0 1.29344e-32 0 6.46718e-32 0 1.29344e-31 0 1.94016e-31 0 2.58687e-31 0 3.23359e-31 0 6.46719e-31 0 1.29344e-30 0 1.94016e-30 0 2.58688e-30 0 3.2336e-30 0 3.88032e-30 0 4.52704e-30 0 5.17376e-30 0 5.82049e-30 0 6.46721e-30 0 7.11393e-30 0 7.76066e-30 0 8.40738e-30 0 9.05411e-30 0 9.70083e-30 0 1.03476e-29 0 1.09943e-29 0 1.1641e-29 0 1.22877e-29 0 1.29345e-29 0 1.35812e-29 0 1.42279e-29 0 1.48747e-29 0 1.55214e-29 0 1.61681e-29 0 1.68148e-29 0 1.74616e-29 0 1.81083e-29 0 1.8755e-29 0 1.94018e-29 0 2.00485e-29 0 2.06952e-29 0 2.1342e-29 0 2.19887e-29 0 2.26354e-29 0 2.32822e-29 0 2.39289e-29 0 2.45756e-29 0 2.52224e-29 0 2.58691e-29 0 2.65158e-29 0 2.71626e-29 0 2.78093e-29 0 2.84561e-29 0 2.91028e-29 0 2.97495e-29 0 3.03963e-29 0 3.1043e-29 0 3.16897e-29 0 3.23365e-29 0 3.29832e-29 0 3.363e-29 0 3.42767e-29 0 3.49234e-29 0 3.55702e-29 0 3.62169e-29 0 3.68637e-29 0 3.75104e-29 0 3.81572e-29 0 3.88039e-29
0.0675157 1.2713e-16 1.27129e-16 8.17026e-22 6.42672e-06 0.000109002 0 0 0 5.31257e-35 0 1.34513e-31 0 6.72564e-31 0 1.34513e-30 0 2.01769e-30 0 2.69026e-30 0 3.36282e-30 0 6.72564e-30 0 1.34513e-29 0 2.01769e-29 0 2.69026e-29 0 3.36283e-29 0 4.03539e-29 0 4.70796e-29 0 5.38053e-29 0 6.0531e-29 0 6.72567e-29 0 7.39824e-29 0 8.07081e-29 0 8.74338e-29 0 9.41595e-29 0 1.00885e-28 0 1.07611e-28 0 1.14337e-28 0 1.21062e-28 0 1.27788e-28 0 1.34514e-28 0 1.4124e-28 0 1.47965e-28 0 1.54691e-28 0 1.61417e-28 0 1.68143e-28 0 1.74868e-28 0 1.81594e-28 0 1.8832e-28 0 1.95046e-28 0 2.01772e-28 0 2.08497e-28 0 2.15223e-28 0 2.21949e-28 0 2.28675e-28 0 2.354e-28 0 2.42126e-28 0 2.48852e-28 0 2.55578e-28 0 2.62304e-28 0 2.6903e-28 0 2.75755e-28 0 2.82481e-28 0 2.89207e-28 0 2.95933e-28 0 3.02659e-28 0 3.09385e-28 0 3.1611e-28 0 3.22836e-28 0 3.29562e-28 0 3.36288e-28 0 3.43014e-28 0 3.4974e-28 0 3.56466e-28 0 3.63191e-28 0 3.69917e-28 0 3.76643e-28 0 3.83369e-28 0 3.90095e-28 0 3.96821e-28 0 4.03547e-28
0.0709813 1.39822e-16 1.39821e-16 8.48807e-22 6.07062e-06 9.7228e-05 0 0 0 7.00566e-34 0 1.24282e-30 0 6.21409e-30 0 1.24282e-29 0 1.86423e-29 0 2.48564e-29 0 3.10704e-29 0 6.21409e-29 0 1.24282e-28 0 1.86423e-28 0 2.48564e-28 0 3.10705e-28 0 3.72846e-28 0 4.34987e-28 0 4.97129e-28 0 5.5927e-28 0 6.21411e-28 0 6.83553e-28 0 7.45694e-28 0 8.07836e-28 0 8.69977e-28 0 9.32119e-28 0 9.9426e-28 0 1.0564e-27 0 1.11854e-27 0 1.18069e-27 0 1.24283e-27 0 1.30497e-27 0 1.36711e-27 0 1.42925e-27 0 1.49139e-27 0 1.55354e-27 0 1.61568e-27 0 1.67782e-27 0 1.73996e-27 0 1.80211e-27 0 1.86425e-27 0 1.92639e-27 0 1.98853e-27 0 2.05067e-27 0 2.11282e-27 0 2.17496e-27 0 2.2371e-27 0 2.29924e-27 0 2.36139e-27 0 2.42353e-27 0 2.48567e-27 0 2.54781e-27 0 2.60996e-27 0 2.6721e-27 0 2.73424e-27 0 2.79638e-27 0 2.85853e-27 0 2.92067e-27 0 2.98281e-27 0 3.04496e-27 0 3.1071e-27 0 3.16924e-27 0 3.23138e-27 0 3.29353e-27 0 3.35567e-27 0 3.41781e-27 0 3.47996e-27 0 3.5421e-27 0 3.60424e-27 0 3.66639e-27 0 3.72853e-27
0.0746248 1.52526e-16 1.52525e-16 8.8071e-22 5.77417e-06 8.66712e-05 0 0 0 8.04967e-33 0 1.0184e-29 0 5.09199e-29 0 1.0184e-28 0 1.5276e-28 0 2.0368e-28 0 2.546e-28 0 5.09199e-28 0 1.0184e-27 0 1.5276e-27 0 2.0368e-27 0 2.546e-27 0 3.0552e-27 0 3.56441e-27 0 4.07361e-27 0 4.58281e-27 0 5.09201e-27 0 5.60122e-27 0 6.11042e-27 0 6.61962e-27 0 7.12883e-27 0 7.63803e-27 0 8.14724e-27 0 8.65644e-27 0 9.16565e-27 0 9.67486e-27 0 1.01841e-26 0 1.06933e-26 0 1.12025e-26 0 1.17117e-26 0 1.22209e-26 0 1.27301e-26 0 1.32393e-26 0 1.37485e-26 0 1.42577e-26 0 1.47669e-26 0 1.52761e-26 0 1.57854e-26 0 1.62946e-26 0 1.68038e-26 0 1.7313e-26 0 1.78222e-26 0 1.83314e-26 0 1.88406e-26 0 1.93498e-26 0 1.9859e-26 0 2.03683e-26 0 2.08775e-26 0 2.13867e-26 0 2.18959e-26 0 2.24051e-26 0 2.29143e-26 0 2.34235e-26 0 2.39328e-26 0 2.4442e-26 0 2.49512e-26 0 2.54604e-26 0 2.59696e-26 0 2.64788e-26 0 2.69881e-26 0 2.74973e-26 0 2.80065e-26 0 2.85157e-26 0 2.90249e-26 0 2.95341e-26 0 3.00434e-26 0 3.05526e-26
0.0784553 1.57196e-16 1.57195e-16 8.50007e-22 5.40731e-06 7.83108e-05 0 0 0 7.72631e-32 0 7.08939e-29 0 3.5447e-28 0 7.08939e-28 0 1.06341e-27 0 1.41788e-27 0 1.77235e-27 0 3.5447e-27 0 7.0894e-27 0 1.06341e-26 0 1.41788e-26 0 1.77235e-26 0 2.12682e-26 0 2.48129e-26 0 2.83577e-26 0 3.19024e-26 0 3.54471e-26 0 3.89918e-26 0 4.25366e-26 0 4.60813e-26 0 4.9626e-26 0 5.31708e-26 0 5.67155e-26 0 6.02602e-26 0 6.3805e-26 0 6.73497e-26 0 7.08945e-26 0 7.44392e-26 0 7.7984e-26 0 8.15287e-26 0 8.50735e-26 0 8.86182e-26 0 9.2163e-26 0 9.57078e-26 0 9.92525e-26 0 1.02797e-25 0 1.06342e-25 0 1.09887e-25 0 1.13432e-25 0 1.16976e-25 0 1.20521e-25 0 1.24066e-25 0 1.27611e-25 0 1.31155e-25 0 1.347e-25 0 1.38245e-25 0 1.4179e-25 0 1.45335e-25 0 1.48879e-25 0 1.52424e-25 0 1.55969e-25 0 1.59514e-25 0 1.63059e-25 0 1.66603e-25 0 1.70148e-25 0 1.73693e-25 0 1.77238e-25 0 1.80783e-25 0 1.84327e-25 0 1.87872e-25 0 1.91417e-25 0 1.94962e-25 0 1.98507e-25 0 2.02052e-25 0 2.05596e-25 0 2.09141e-25 0 2.12686e-25
