# 3.3162e-08 0 1 : grain size, compostion index, size index
# Heating and cooling timescale: 3.72241e+06 0.110398
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.0001 0.001 0.01 0.05 0.1 0.15 0.2 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20 20.5 21 21.5 22 22.5 23 23.5 24 24.5 25 25.5 26 26.5 27 27.5 28 28.5 29 29.5 30
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41 EqEm42 StEm42 EqEm43 StEm43 EqEm44 StEm44 EqEm45 StEm45 EqEm46 StEm46 EqEm47 StEm47 EqEm48 StEm48 EqEm49 StEm49 EqEm50 StEm50 EqEm51 StEm51 EqEm52 StEm52 EqEm53 StEm53 EqEm54 StEm54 EqEm55 StEm55 EqEm56 StEm56 EqEm57 StEm57 EqEm58 StEm58 EqEm59 StEm59 EqEm60 StEm60 EqEm61 StEm61 EqEm62 StEm62 EqEm63 StEm63 EqEm64 StEm64 EqEm65 StEm65 EqEm66 StEm66 EqEm67 StEm67 EqEm68 StEm68
0.05 1.00831e-16 1.0083e-16 1.36327e-21 1.35203e-05 0.000256427 0 0 0 0 0 9.80416e-40 0 4.59417e-39 0 9.18836e-39 0 1.37826e-38 0 1.83768e-38 0 2.2971e-38 0 4.59423e-38 0 9.18859e-38 0 1.37831e-37 0 1.83776e-37 0 2.29723e-37 0 2.75671e-37 0 3.2162e-37 0 3.6757e-37 0 4.13519e-37 0 4.59471e-37 0 5.05424e-37 0 5.51378e-37 0 5.97334e-37 0 6.43289e-37 0 6.89242e-37 0 7.35201e-37 0 7.8116e-37 0 8.27116e-37 0 8.73076e-37 0 9.19035e-37 0 9.65e-37 0 1.01096e-36 0 1.05692e-36 0 1.10289e-36 0 1.14885e-36 0 1.19482e-36 0 1.24079e-36 0 1.28675e-36 0 1.33271e-36 0 1.37868e-36 0 1.42465e-36 0 1.47062e-36 0 1.51659e-36 0 1.56257e-36 0 1.60853e-36 0 1.65451e-36 0 1.70048e-36 0 1.74646e-36 0 1.79243e-36 0 1.8384e-36 0 1.88438e-36 0 1.93036e-36 0 1.97634e-36 0 2.02231e-36 0 2.06829e-36 0 2.11427e-36 0 2.16025e-36 0 2.20624e-36 0 2.25221e-36 0 2.2982e-36 0 2.34418e-36 0 2.39017e-36 0 2.43614e-36 0 2.48214e-36 0 2.52812e-36 0 2.57411e-36 0 2.6201e-36 0 2.66608e-36 0 2.71206e-36 0 2.75805e-36
0.0525665 1.09458e-16 1.09457e-16 1.36262e-21 1.24487e-05 0.000230495 0 0 0 0 0 2.14982e-38 0 9.96601e-38 0 1.99321e-37 0 2.98982e-37 0 3.98642e-37 0 4.98304e-37 0 9.96614e-37 0 1.99325e-36 0 2.98991e-36 0 3.9866e-36 0 4.98329e-36 0 5.98003e-36 0 6.97679e-36 0 7.97355e-36 0 8.97032e-36 0 9.96712e-36 0 1.0964e-35 0 1.19608e-35 0 1.29577e-35 0 1.39546e-35 0 1.49514e-35 0 1.59484e-35 0 1.69453e-35 0 1.79422e-35 0 1.89392e-35 0 1.99362e-35 0 2.09332e-35 0 2.19302e-35 0 2.29273e-35 0 2.39243e-35 0 2.49214e-35 0 2.59185e-35 0 2.69157e-35 0 2.79127e-35 0 2.89098e-35 0 2.99069e-35 0 3.09041e-35 0 3.19013e-35 0 3.28984e-35 0 3.38958e-35 0 3.48929e-35 0 3.58901e-35 0 3.68874e-35 0 3.78847e-35 0 3.8882e-35 0 3.98792e-35 0 4.08766e-35 0 4.1874e-35 0 4.28712e-35 0 4.38685e-35 0 4.48659e-35 0 4.58633e-35 0 4.68606e-35 0 4.78582e-35 0 4.88555e-35 0 4.9853e-35 0 5.08504e-35 0 5.18481e-35 0 5.28453e-35 0 5.38431e-35 0 5.48404e-35 0 5.5838e-35 0 5.68355e-35 0 5.78329e-35 0 5.88305e-35 0 5.9828e-35
0.0552647 1.19025e-16 1.19024e-16 1.36831e-21 1.14959e-05 0.000207025 0 0 0 0 0 4.05374e-37 0 1.86266e-36 0 3.72532e-36 0 5.588e-36 0 7.45066e-36 0 9.31335e-36 0 1.86268e-35 0 3.72541e-35 0 5.58817e-35 0 7.45098e-35 0 9.3138e-35 0 1.11767e-34 0 1.30396e-34 0 1.49026e-34 0 1.67655e-34 0 1.86285e-34 0 2.04916e-34 0 2.23548e-34 0 2.42179e-34 0 2.60811e-34 0 2.79441e-34 0 2.98074e-34 0 3.16707e-34 0 3.35339e-34 0 3.53973e-34 0 3.72605e-34 0 3.9124e-34 0 4.09873e-34 0 4.28508e-34 0 4.47143e-34 0 4.65777e-34 0 4.84414e-34 0 5.0305e-34 0 5.21685e-34 0 5.40319e-34 0 5.58955e-34 0 5.77593e-34 0 5.9623e-34 0 6.14866e-34 0 6.33505e-34 0 6.5214e-34 0 6.70779e-34 0 6.89418e-34 0 7.08056e-34 0 7.26695e-34 0 7.45333e-34 0 7.63974e-34 0 7.82614e-34 0 8.01252e-34 0 8.19892e-34 0 8.38532e-34 0 8.57173e-34 0 8.75811e-34 0 8.94456e-34 0 9.13094e-34 0 9.31737e-34 0 9.50378e-34 0 9.69024e-34 0 9.87661e-34 0 1.00631e-33 0 1.02495e-33 0 1.04359e-33 0 1.06224e-33 0 1.08088e-33 0 1.09952e-33 0 1.11816e-33
0.0581015 1.29835e-16 1.29833e-16 1.3825e-21 1.06482e-05 0.000185775 0 0 0 0 0 6.63244e-36 0 3.02597e-35 0 6.05195e-35 0 9.07795e-35 0 1.21039e-34 0 1.51299e-34 0 3.02601e-34 0 6.05208e-34 0 9.07822e-34 0 1.21044e-33 0 1.51306e-33 0 1.8157e-33 0 2.11834e-33 0 2.42098e-33 0 2.72362e-33 0 3.02628e-33 0 3.32894e-33 0 3.63161e-33 0 3.93428e-33 0 4.23695e-33 0 4.53962e-33 0 4.84231e-33 0 5.14501e-33 0 5.44768e-33 0 5.75039e-33 0 6.05308e-33 0 6.35581e-33 0 6.6585e-33 0 6.96123e-33 0 7.26395e-33 0 7.56667e-33 0 7.86942e-33 0 8.17216e-33 0 8.47489e-33 0 8.77761e-33 0 9.08035e-33 0 9.38312e-33 0 9.68588e-33 0 9.98861e-33 0 1.02914e-32 0 1.05941e-32 0 1.08969e-32 0 1.11997e-32 0 1.15025e-32 0 1.18053e-32 0 1.2108e-32 0 1.24109e-32 0 1.27137e-32 0 1.30165e-32 0 1.33192e-32 0 1.36221e-32 0 1.39249e-32 0 1.42277e-32 0 1.45305e-32 0 1.48333e-32 0 1.51362e-32 0 1.5439e-32 0 1.57419e-32 0 1.60446e-32 0 1.63476e-32 0 1.66504e-32 0 1.69532e-32 0 1.72561e-32 0 1.75589e-32 0 1.78617e-32 0 1.81646e-32
0.0610839 1.42003e-16 1.42002e-16 1.40607e-21 9.90172e-06 0.000166507 0 0 0 0 0 9.47933e-35 0 4.30092e-34 0 8.60184e-34 0 1.29028e-33 0 1.72037e-33 0 2.15047e-33 0 4.30096e-33 0 8.60202e-33 0 1.29032e-32 0 1.72044e-32 0 2.15056e-32 0 2.58071e-32 0 3.01086e-32 0 3.44101e-32 0 3.87116e-32 0 4.30133e-32 0 4.7315e-32 0 5.16169e-32 0 5.59189e-32 0 6.02208e-32 0 6.45226e-32 0 6.88249e-32 0 7.31271e-32 0 7.74291e-32 0 8.17314e-32 0 8.60337e-32 0 9.03363e-32 0 9.46386e-32 0 9.89412e-32 0 1.03244e-31 0 1.07546e-31 0 1.11849e-31 0 1.16152e-31 0 1.20455e-31 0 1.24757e-31 0 1.2906e-31 0 1.33364e-31 0 1.37667e-31 0 1.41969e-31 0 1.46273e-31 0 1.50576e-31 0 1.54879e-31 0 1.59183e-31 0 1.63486e-31 0 1.6779e-31 0 1.72093e-31 0 1.76397e-31 0 1.807e-31 0 1.85004e-31 0 1.89307e-31 0 1.93611e-31 0 1.97915e-31 0 2.02218e-31 0 2.06523e-31 0 2.10826e-31 0 2.15131e-31 0 2.19435e-31 0 2.2374e-31 0 2.28043e-31 0 2.32348e-31 0 2.36652e-31 0 2.40956e-31 0 2.45261e-31 0 2.49565e-31 0 2.53869e-31 0 2.58173e-31
0.0642193 1.55831e-16 1.5583e-16 1.44114e-21 9.24812e-06 0.000149035 0 0 0 0 0 1.19243e-33 0 5.38781e-33 0 1.07756e-32 0 1.61635e-32 0 2.15513e-32 0 2.69392e-32 0 5.38786e-32 0 1.07758e-31 0 1.61639e-31 0 2.15521e-31 0 2.69403e-31 0 3.23287e-31 0 3.77172e-31 0 4.31057e-31 0 4.84943e-31 0 5.38829e-31 0 5.92718e-31 0 6.46607e-31 0 7.00498e-31 0 7.54388e-31 0 8.08277e-31 0 8.62171e-31 0 9.16064e-31 0 9.69955e-31 0 1.02385e-30 0 1.07774e-30 0 1.13164e-30 0 1.18554e-30 0 1.23943e-30 0 1.29333e-30 0 1.34723e-30 0 1.40113e-30 0 1.45503e-30 0 1.50893e-30 0 1.56283e-30 0 1.61673e-30 0 1.67064e-30 0 1.72454e-30 0 1.77844e-30 0 1.83235e-30 0 1.88625e-30 0 1.94016e-30 0 1.99407e-30 0 2.04798e-30 0 2.10188e-30 0 2.15579e-30 0 2.2097e-30 0 2.26362e-30 0 2.31752e-30 0 2.37143e-30 0 2.42534e-30 0 2.47926e-30 0 2.53316e-30 0 2.58709e-30 0 2.64099e-30 0 2.69491e-30 0 2.74883e-30 0 2.80275e-30 0 2.85666e-30 0 2.91059e-30 0 2.9645e-30 0 3.01842e-30 0 3.07234e-30 0 3.12625e-30 0 3.18017e-30 0 3.23409e-30
0.0675157 1.71494e-16 1.71492e-16 1.48867e-21 8.68059e-06 0.000133188 0 0 0 0 0 1.32816e-32 0 5.98364e-32 0 1.19673e-31 0 1.7951e-31 0 2.39346e-31 0 2.99183e-31 0 5.9837e-31 0 1.19675e-30 0 1.79514e-30 0 2.39355e-30 0 2.99195e-30 0 3.59038e-30 0 4.18882e-30 0 4.78725e-30 0 5.38569e-30 0 5.98415e-30 0 6.58262e-30 0 7.18111e-30 0 7.77961e-30 0 8.3781e-30 0 8.97657e-30 0 9.5751e-30 0 1.01736e-29 0 1.07721e-29 0 1.13707e-29 0 1.19692e-29 0 1.25678e-29 0 1.31663e-29 0 1.37649e-29 0 1.43635e-29 0 1.4962e-29 0 1.55607e-29 0 1.61593e-29 0 1.67578e-29 0 1.73564e-29 0 1.7955e-29 0 1.85537e-29 0 1.91523e-29 0 1.97509e-29 0 2.03496e-29 0 2.09482e-29 0 2.15469e-29 0 2.21456e-29 0 2.27442e-29 0 2.33429e-29 0 2.39416e-29 0 2.45403e-29 0 2.5139e-29 0 2.57377e-29 0 2.63364e-29 0 2.69351e-29 0 2.75339e-29 0 2.81325e-29 0 2.87314e-29 0 2.933e-29 0 2.99288e-29 0 3.05276e-29 0 3.11264e-29 0 3.17251e-29 0 3.2324e-29 0 3.29227e-29 0 3.35215e-29 0 3.41203e-29 0 3.4719e-29 0 3.53178e-29 0 3.59166e-29
0.0709813 1.88637e-16 1.88635e-16 1.54638e-21 8.19766e-06 0.000118805 0 0 0 7.00649e-45 0 1.31361e-31 0 5.90734e-31 0 1.18147e-30 0 1.77221e-30 0 2.36294e-30 0 2.95368e-30 0 5.90739e-30 0 1.18149e-29 0 1.77225e-29 0 2.36302e-29 0 2.95379e-29 0 3.54459e-29 0 4.13539e-29 0 4.72619e-29 0 5.317e-29 0 5.90782e-29 0 6.49865e-29 0 7.0895e-29 0 7.68035e-29 0 8.27121e-29 0 8.86204e-29 0 9.45293e-29 0 1.00438e-28 0 1.06347e-28 0 1.12256e-28 0 1.18165e-28 0 1.24074e-28 0 1.29983e-28 0 1.35892e-28 0 1.41802e-28 0 1.47711e-28 0 1.53621e-28 0 1.5953e-28 0 1.6544e-28 0 1.71349e-28 0 1.77258e-28 0 1.83169e-28 0 1.89078e-28 0 1.94988e-28 0 2.00898e-28 0 2.06808e-28 0 2.12718e-28 0 2.18629e-28 0 2.24539e-28 0 2.30449e-28 0 2.36359e-28 0 2.4227e-28 0 2.48181e-28 0 2.54091e-28 0 2.60001e-28 0 2.65912e-28 0 2.71823e-28 0 2.77733e-28 0 2.83644e-28 0 2.89555e-28 0 2.95466e-28 0 3.01377e-28 0 3.07289e-28 0 3.13199e-28 0 3.19111e-28 0 3.25022e-28 0 3.30934e-28 0 3.36845e-28 0 3.42756e-28 0 3.48667e-28 0 3.54578e-28
0.0746248 2.05826e-16 2.05824e-16 1.60437e-21 7.79478e-06 0.000105902 0 0 0 3.40516e-43 0 1.15176e-30 0 5.17501e-30 0 1.035e-29 0 1.55251e-29 0 2.07001e-29 0 2.58752e-29 0 5.17506e-29 0 1.03502e-28 0 1.55254e-28 0 2.07007e-28 0 2.58761e-28 0 3.10516e-28 0 3.62272e-28 0 4.14027e-28 0 4.65784e-28 0 5.17541e-28 0 5.69299e-28 0 6.21059e-28 0 6.72819e-28 0 7.24579e-28 0 7.76338e-28 0 8.28101e-28 0 8.79864e-28 0 9.31624e-28 0 9.83388e-28 0 1.03515e-27 0 1.08692e-27 0 1.13868e-27 0 1.19045e-27 0 1.24221e-27 0 1.29398e-27 0 1.34575e-27 0 1.39752e-27 0 1.44929e-27 0 1.50105e-27 0 1.55282e-27 0 1.60459e-27 0 1.65637e-27 0 1.70813e-27 0 1.75991e-27 0 1.81168e-27 0 1.86345e-27 0 1.91523e-27 0 1.967e-27 0 2.01878e-27 0 2.07055e-27 0 2.12233e-27 0 2.1741e-27 0 2.22588e-27 0 2.27765e-27 0 2.32943e-27 0 2.38121e-27 0 2.43298e-27 0 2.48477e-27 0 2.53654e-27 0 2.58833e-27 0 2.64011e-27 0 2.69189e-27 0 2.74367e-27 0 2.79546e-27 0 2.84724e-27 0 2.89902e-27 0 2.95081e-27 0 3.00258e-27 0 3.05437e-27 0 3.10615e-27
0.0784553 2.12223e-16 2.12221e-16 1.54842e-21 7.29623e-06 9.56805e-05 0 0 0 1.32311e-41 0 8.57614e-30 0 3.85325e-29 0 7.70651e-29 0 1.15598e-28 0 1.5413e-28 0 1.92663e-28 0 3.85328e-28 0 7.70663e-28 0 1.156e-27 0 1.54135e-27 0 1.9267e-27 0 2.31206e-27 0 2.69742e-27 0 3.08279e-27 0 3.46815e-27 0 3.85353e-27 0 4.23891e-27 0 4.6243e-27 0 5.0097e-27 0 5.3951e-27 0 5.78048e-27 0 6.1659e-27 0 6.55131e-27 0 6.93671e-27 0 7.32213e-27 0 7.70755e-27 0 8.09299e-27 0 8.47841e-27 0 8.86385e-27 0 9.24929e-27 0 9.63472e-27 0 1.00202e-26 0 1.04056e-26 0 1.07911e-26 0 1.11765e-26 0 1.1562e-26 0 1.19475e-26 0 1.23329e-26 0 1.27184e-26 0 1.31039e-26 0 1.34894e-26 0 1.38748e-26 0 1.42604e-26 0 1.46458e-26 0 1.50313e-26 0 1.54168e-26 0 1.58024e-26 0 1.61879e-26 0 1.65734e-26 0 1.69589e-26 0 1.73444e-26 0 1.77299e-26 0 1.81154e-26 0 1.8501e-26 0 1.88865e-26 0 1.9272e-26 0 1.96576e-26 0 2.00432e-26 0 2.04286e-26 0 2.08143e-26 0 2.11998e-26 0 2.15854e-26 0 2.19709e-26 0 2.23564e-26 0 2.2742e-26 0 2.31275e-26
