# 3.7584e-08 1 1 : grain size, compostion index, size index
# Heating and cooling timescale: 1.06387e+06 0.0517082
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.0001 0.001 0.01 0.05 0.1 0.15 0.2 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20 20.5 21 21.5 22 22.5 23 23.5 24 24.5 25 25.5 26 26.5 27 27.5 28 28.5 29 29.5 30
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41 EqEm42 StEm42 EqEm43 StEm43 EqEm44 StEm44 EqEm45 StEm45 EqEm46 StEm46 EqEm47 StEm47 EqEm48 StEm48 EqEm49 StEm49 EqEm50 StEm50 EqEm51 StEm51 EqEm52 StEm52 EqEm53 StEm53 EqEm54 StEm54 EqEm55 StEm55 EqEm56 StEm56 EqEm57 StEm57 EqEm58 StEm58 EqEm59 StEm59 EqEm60 StEm60 EqEm61 StEm61 EqEm62 StEm62 EqEm63 StEm63 EqEm64 StEm64 EqEm65 StEm65 EqEm66 StEm66 EqEm67 StEm67 EqEm68 StEm68
0.05 3.90002e-17 3.9e-17 2.41611e-22 6.19511e-06 2.49702e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45
0.0525665 4.31068e-17 4.31065e-17 2.67051e-22 6.19511e-06 2.75994e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45 0 5.60519e-45 0 5.60519e-45 0 5.60519e-45 0 7.00649e-45 0 7.00649e-45 0 7.00649e-45 0 8.40779e-45 0 8.40779e-45 0 8.40779e-45 0 9.80909e-45 0 9.80909e-45 0 9.80909e-45 0 1.12104e-44 0 1.12104e-44 0 1.12104e-44 0 1.26117e-44 0 1.26117e-44 0 1.4013e-44 0 1.4013e-44 0 1.54143e-44 0 1.54143e-44 0 1.54143e-44 0 1.68156e-44 0 1.68156e-44 0 1.82169e-44 0 1.82169e-44 0 1.96182e-44 0 1.96182e-44 0 2.10195e-44 0 2.10195e-44 0 2.24208e-44 0 2.24208e-44 0 2.38221e-44
0.0552647 4.76457e-17 4.76454e-17 2.9517e-22 6.19511e-06 3.05055e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 4.2039e-45 0 5.60519e-45 0 7.00649e-45 0 9.80909e-45 0 1.26117e-44 0 1.68156e-44 0 2.10195e-44 0 2.52234e-44 0 2.8026e-44 0 3.22299e-44 0 3.64338e-44 0 4.06377e-44 0 4.48416e-44 0 4.90454e-44 0 5.46506e-44 0 6.02558e-44 0 6.44597e-44 0 7.00649e-44 0 7.70714e-44 0 8.26766e-44 0 8.82818e-44 0 9.52883e-44 0 1.02295e-43 0 1.09301e-43 0 1.16308e-43 0 1.23314e-43 0 1.31722e-43 0 1.4013e-43 0 1.47136e-43 0 1.55544e-43 0 1.63952e-43 0 1.73761e-43 0 1.82169e-43 0 1.91978e-43 0 2.01787e-43 0 2.11596e-43 0 2.21405e-43 0 2.31214e-43 0 2.42425e-43 0 2.52234e-43 0 2.63444e-43 0 2.74654e-43 0 2.85865e-43 0 2.97075e-43 0 3.09687e-43 0 3.20897e-43 0 3.33509e-43 0 3.46121e-43 0 3.58732e-43 0 3.71344e-43 0 3.85357e-43 0 3.97969e-43 0 4.11982e-43 0 4.25995e-43 0 4.40008e-43 0 4.54021e-43
0.0581015 5.26625e-17 5.26622e-17 3.2625e-22 6.19511e-06 3.37176e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 1.54143e-44 0 1.68156e-44 0 3.22299e-44 0 6.5861e-44 0 9.80909e-44 0 1.34525e-43 0 1.73761e-43 0 2.18603e-43 0 2.70451e-43 0 3.32108e-43 0 4.02173e-43 0 4.86251e-43 0 5.74532e-43 0 6.48801e-43 0 7.25873e-43 0 8.07148e-43 0 8.91226e-43 0 9.79508e-43 0 1.07059e-42 0 1.16588e-42 0 1.26397e-42 0 1.36627e-42 0 1.47136e-42 0 1.58066e-42 0 1.69417e-42 0 1.81048e-42 0 1.92959e-42 0 2.0529e-42 0 2.18042e-42 0 2.31074e-42 0 2.44527e-42 0 2.58259e-42 0 2.72412e-42 0 2.86846e-42 0 3.017e-42 0 3.16834e-42 0 3.32388e-42 0 3.48363e-42 0 3.64618e-42 0 3.81153e-42 0 3.98109e-42 0 4.15485e-42 0 4.33141e-42 0 4.51218e-42 0 4.69575e-42 0 4.88353e-42 0 5.0741e-42 0 5.26888e-42 0 5.46647e-42 0 5.66825e-42 0 5.87424e-42 0 6.08304e-42 0 6.29463e-42 0 6.51043e-42 0 6.73044e-42 0 6.95324e-42 0 7.18025e-42 0 7.41007e-42 0 7.64408e-42 0 7.8809e-42 0 8.12193e-42 0 8.36575e-42
0.0610839 5.82077e-17 5.82073e-17 3.60603e-22 6.19511e-06 3.72679e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 6.24979e-43 0 6.44597e-43 0 1.292e-42 0 2.5882e-42 0 3.89421e-42 0 5.23105e-42 0 6.62254e-42 0 8.0911e-42 0 9.65635e-42 0 1.13463e-41 0 1.31498e-41 0 1.51298e-41 0 1.71673e-41 0 1.90156e-41 0 2.0913e-41 0 2.2858e-41 0 2.48506e-41 0 2.68923e-41 0 2.89803e-41 0 3.11186e-41 0 3.33033e-41 0 3.55369e-41 0 3.78182e-41 0 4.01472e-41 0 4.25238e-41 0 4.49495e-41 0 4.74227e-41 0 4.99451e-41 0 5.25137e-41 0 5.51313e-41 0 5.7798e-41 0 6.05109e-41 0 6.32728e-41 0 6.60824e-41 0 6.89411e-41 0 7.1846e-41 0 7.47999e-41 0 7.78029e-41 0 8.08521e-41 0 8.39504e-41 0 8.70963e-41 0 9.02899e-41 0 9.35325e-41 0 9.68227e-41 0 1.00161e-40 0 1.03548e-40 0 1.06982e-40 0 1.10464e-40 0 1.13994e-40 0 1.17573e-40 0 1.212e-40 0 1.24874e-40 0 1.28597e-40 0 1.32368e-40 0 1.36187e-40 0 1.40053e-40 0 1.43968e-40 0 1.47931e-40 0 1.51941e-40 0 1.56001e-40 0 1.60108e-40 0 1.64262e-40
0.0642193 6.43366e-17 6.43362e-17 3.98572e-22 6.19511e-06 4.1192e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 2.03889e-41 0 2.13446e-41 0 4.27522e-41 0 8.56179e-41 0 1.28638e-40 0 1.72056e-40 0 2.16173e-40 0 2.61198e-40 0 3.07378e-40 0 3.54973e-40 0 4.03868e-40 0 4.54727e-40 0 5.06226e-40 0 5.55667e-40 0 6.05675e-40 0 6.56253e-40 0 7.07401e-40 0 7.5912e-40 0 8.11409e-40 0 8.64269e-40 0 9.17695e-40 0 9.71693e-40 0 1.02626e-39 0 1.0814e-39 0 1.1371e-39 0 1.19338e-39 0 1.25023e-39 0 1.30764e-39 0 1.36563e-39 0 1.42419e-39 0 1.48331e-39 0 1.543e-39 0 1.60327e-39 0 1.6641e-39 0 1.72551e-39 0 1.78749e-39 0 1.85003e-39 0 1.91315e-39 0 1.97683e-39 0 2.04108e-39 0 2.10591e-39 0 2.1713e-39 0 2.23726e-39 0 2.3038e-39 0 2.3709e-39 0 2.43857e-39 0 2.50681e-39 0 2.57562e-39 0 2.64501e-39 0 2.71496e-39 0 2.78548e-39 0 2.85657e-39 0 2.92824e-39 0 3.00047e-39 0 3.07326e-39 0 3.14663e-39 0 3.22058e-39 0 3.29508e-39 0 3.37017e-39 0 3.44581e-39 0 3.52204e-39 0 3.59882e-39
0.0675157 7.1111e-17 7.11105e-17 4.4054e-22 6.19511e-06 4.55293e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 5.60437e-40 0 5.94939e-40 0 1.19153e-39 0 2.38587e-39 0 3.58247e-39 0 4.78391e-39 0 5.99326e-39 0 7.21165e-39 0 8.44293e-39 0 9.68799e-39 0 1.09462e-38 0 1.22238e-38 0 1.35076e-38 0 1.47714e-38 0 1.60412e-38 0 1.73169e-38 0 1.85986e-38 0 1.98863e-38 0 2.118e-38 0 2.24797e-38 0 2.37853e-38 0 2.50969e-38 0 2.64144e-38 0 2.77379e-38 0 2.90674e-38 0 3.04029e-38 0 3.17443e-38 0 3.30918e-38 0 3.44452e-38 0 3.58045e-38 0 3.71699e-38 0 3.85411e-38 0 3.99185e-38 0 4.13017e-38 0 4.2691e-38 0 4.40862e-38 0 4.54874e-38 0 4.68946e-38 0 4.83077e-38 0 4.97267e-38 0 5.11517e-38 0 5.25828e-38 0 5.40198e-38 0 5.54628e-38 0 5.69117e-38 0 5.83667e-38 0 5.98275e-38 0 6.12944e-38 0 6.27673e-38 0 6.42462e-38 0 6.57308e-38 0 6.72216e-38 0 6.87185e-38 0 7.02212e-38 0 7.17297e-38 0 7.32444e-38 0 7.47651e-38 0 7.62917e-38 0 7.78243e-38 0 7.93628e-38 0 8.09075e-38 0 8.24577e-38
0.0709813 7.85986e-17 7.85981e-17 4.86927e-22 6.1951e-06 5.03233e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 1.30984e-38 0 1.40846e-38 0 2.82063e-38 0 5.64738e-38 0 8.47731e-38 0 1.13128e-37 0 1.41566e-37 0 1.70078e-37 0 1.98728e-37 0 2.27491e-37 0 2.56372e-37 0 2.85425e-37 0 3.14528e-37 0 3.43456e-37 0 3.72439e-37 0 4.01477e-37 0 4.30572e-37 0 4.59722e-37 0 4.88929e-37 0 5.18191e-37 0 5.47508e-37 0 5.76881e-37 0 6.0631e-37 0 6.35794e-37 0 6.65334e-37 0 6.94931e-37 0 7.24581e-37 0 7.54289e-37 0 7.84051e-37 0 8.1387e-37 0 8.43744e-37 0 8.73673e-37 0 9.03661e-37 0 9.33701e-37 0 9.638e-37 0 9.93952e-37 0 1.02416e-36 0 1.05443e-36 0 1.08475e-36 0 1.11512e-36 0 1.14555e-36 0 1.17604e-36 0 1.20658e-36 0 1.23718e-36 0 1.26783e-36 0 1.29854e-36 0 1.3293e-36 0 1.36013e-36 0 1.391e-36 0 1.42194e-36 0 1.45292e-36 0 1.48397e-36 0 1.51507e-36 0 1.54622e-36 0 1.57743e-36 0 1.6087e-36 0 1.64002e-36 0 1.6714e-36 0 1.70284e-36 0 1.73432e-36 0 1.76587e-36 0 1.79747e-36
0.0746248 8.68747e-17 8.68741e-17 5.38198e-22 6.19511e-06 5.56221e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 2.62344e-37 0 2.85458e-37 0 5.7163e-37 0 1.14442e-36 0 1.71765e-36 0 2.29152e-36 0 2.86621e-36 0 3.44134e-36 0 4.01797e-36 0 4.59528e-36 0 5.1736e-36 0 5.75324e-36 0 6.33321e-36 0 6.91175e-36 0 7.49075e-36 0 8.0702e-36 0 8.65012e-36 0 9.23052e-36 0 9.81139e-36 0 1.03927e-35 0 1.09745e-35 0 1.15568e-35 0 1.21395e-35 0 1.27227e-35 0 1.33063e-35 0 1.38904e-35 0 1.4475e-35 0 1.506e-35 0 1.56455e-35 0 1.62315e-35 0 1.68179e-35 0 1.74048e-35 0 1.79922e-35 0 1.858e-35 0 1.91683e-35 0 1.97571e-35 0 2.03463e-35 0 2.0936e-35 0 2.15262e-35 0 2.21168e-35 0 2.27078e-35 0 2.32994e-35 0 2.38914e-35 0 2.44839e-35 0 2.50768e-35 0 2.56702e-35 0 2.62641e-35 0 2.68584e-35 0 2.74532e-35 0 2.80485e-35 0 2.86442e-35 0 2.92404e-35 0 2.98371e-35 0 3.04342e-35 0 3.10318e-35 0 3.16298e-35 0 3.22284e-35 0 3.28273e-35 0 3.34268e-35 0 3.40267e-35 0 3.46271e-35 0 3.52279e-35
0.0784553 9.60221e-17 9.60215e-17 5.94867e-22 6.19511e-06 6.14789e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 4.53642e-36 0 4.99021e-36 0 9.9923e-36 0 2.00037e-35 0 3.00212e-35 0 4.00458e-35 0 5.00786e-35 0 6.01121e-35 0 7.01621e-35 0 8.02138e-35 0 9.02736e-35 0 1.00342e-34 0 1.10412e-34 0 1.20471e-34 0 1.30533e-34 0 1.40598e-34 0 1.50667e-34 0 1.60739e-34 0 1.70815e-34 0 1.80895e-34 0 1.90977e-34 0 2.01064e-34 0 2.11154e-34 0 2.21247e-34 0 2.31344e-34 0 2.41444e-34 0 2.51548e-34 0 2.61655e-34 0 2.71766e-34 0 2.8188e-34 0 2.91998e-34 0 3.02119e-34 0 3.12244e-34 0 3.22372e-34 0 3.32505e-34 0 3.4264e-34 0 3.52779e-34 0 3.62921e-34 0 3.73067e-34 0 3.83216e-34 0 3.93368e-34 0 4.03525e-34 0 4.13684e-34 0 4.23847e-34 0 4.34014e-34 0 4.44184e-34 0 4.54357e-34 0 4.64535e-34 0 4.74716e-34 0 4.849e-34 0 4.95087e-34 0 5.05278e-34 0 5.15474e-34 0 5.25672e-34 0 5.35872e-34 0 5.46078e-34 0 5.56287e-34 0 5.66499e-34 0 5.76714e-34 0 5.86933e-34 0 5.97157e-34 0 6.07381e-34
