# 4.85817e-08 3 3 : grain size, compostion index, size index
# Heating and cooling timescale: 179913 0.315024
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.0001 0.001 0.01 0.05 0.1 0.15 0.2 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20 20.5 21 21.5 22 22.5 23 23.5 24 24.5 25 25.5 26 26.5 27 27.5 28 28.5 29 29.5 30
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41 EqEm42 StEm42 EqEm43 StEm43 EqEm44 StEm44 EqEm45 StEm45 EqEm46 StEm46 EqEm47 StEm47 EqEm48 StEm48 EqEm49 StEm49 EqEm50 StEm50 EqEm51 StEm51 EqEm52 StEm52 EqEm53 StEm53 EqEm54 StEm54 EqEm55 StEm55 EqEm56 StEm56 EqEm57 StEm57 EqEm58 StEm58 EqEm59 StEm59 EqEm60 StEm60 EqEm61 StEm61 EqEm62 StEm62 EqEm63 StEm63 EqEm64 StEm64 EqEm65 StEm65 EqEm66 StEm66 EqEm67 StEm67 EqEm68 StEm68
0.05 4.8716e-16 4.87118e-16 4.26905e-20 8.76313e-05 0.000515878 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0525665 5.64186e-16 5.6414e-16 4.577e-20 8.11257e-05 0.000459529 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0552647 6.5104e-16 6.50991e-16 4.90305e-20 7.53111e-05 0.000409198 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0581015 7.38746e-16 7.38694e-16 5.17186e-20 7.00087e-05 0.000364186 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0610839 8.37396e-16 8.37341e-16 5.49822e-20 6.56586e-05 0.000320745 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0642193 9.77875e-16 9.77814e-16 6.12464e-20 6.26321e-05 0.000277412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0675157 1.19081e-15 1.19074e-15 7.19512e-20 6.04219e-05 0.000233749 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0709813 1.32093e-15 1.32085e-15 7.42409e-20 5.62037e-05 0.000195967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0746248 1.25533e-15 1.25526e-15 6.4798e-20 5.16184e-05 0.000169042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0784553 1.07037e-15 1.07032e-15 5.02498e-20 4.69463e-05 0.000151131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0824824 8.6018e-16 8.60145e-16 3.53441e-20 4.10891e-05 0.000141291 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0867162 7.51535e-16 7.51508e-16 2.72379e-20 3.6243e-05 0.00013568 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0911674 6.62032e-16 6.6201e-16 2.28493e-20 3.45139e-05 0.00013176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.095847 5.19446e-16 5.19428e-16 1.81298e-20 3.49021e-05 0.000138927 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.100767 3.58037e-16 3.58025e-16 1.23713e-20 3.45532e-05 0.000162037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.105939 2.34751e-16 2.34743e-16 8.57202e-21 3.65153e-05 0.000174804 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.111377 1.42087e-16 1.42082e-16 5.24399e-21 3.69069e-05 0.000200059 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45 0 5.60519e-45 0 5.60519e-45 0 5.60519e-45 0 5.60519e-45 0 5.60519e-45 0 7.00649e-45 0 7.00649e-45 0 7.00649e-45 0 7.00649e-45 0 7.00649e-45 0 7.00649e-45 0 8.40779e-45
0.117094 1.08882e-16 1.08879e-16 3.26987e-21 3.00314e-05 0.000183196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45 0 5.60519e-45 0 7.00649e-45 0 8.40779e-45 0 8.40779e-45 0 9.80909e-45 0 1.12104e-44 0 1.26117e-44 0 1.26117e-44 0 1.4013e-44 0 1.54143e-44 0 1.68156e-44 0 1.82169e-44 0 1.96182e-44 0 2.10195e-44 0 2.24208e-44 0 2.52234e-44 0 2.66247e-44 0 2.8026e-44 0 3.08286e-44 0 3.22299e-44 0 3.36312e-44 0 3.64338e-44 0 3.78351e-44 0 4.06377e-44 0 4.2039e-44 0 4.48416e-44 0 4.62428e-44 0 4.90454e-44 0 5.1848e-44 0 5.46506e-44 0 5.60519e-44 0 5.88545e-44 0 6.30584e-44 0 6.5861e-44 0 6.86636e-44 0 7.14662e-44 0 7.42688e-44 0 7.70714e-44 0 7.9874e-44 0 8.26766e-44 0 8.68805e-44 0 8.96831e-44 0 9.24857e-44 0 9.66896e-44 0 9.94922e-44 0 1.02295e-43
0.123105 8.53881e-17 8.5386e-17 2.13077e-21 2.49539e-05 0.000157167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 2.8026e-45 0 4.2039e-45 0 7.00649e-45 0 9.80909e-45 0 1.4013e-44 0 1.82169e-44 0 2.38221e-44 0 2.94273e-44 0 3.64338e-44 0 4.34403e-44 0 5.1848e-44 0 6.02558e-44 0 6.86636e-44 0 7.9874e-44 0 8.96831e-44 0 1.00893e-43 0 1.12104e-43 0 1.24716e-43 0 1.4013e-43 0 1.54143e-43 0 1.68156e-43 0 1.8357e-43 0 1.98984e-43 0 2.14399e-43 0 2.31214e-43 0 2.49431e-43 0 2.67648e-43 0 2.9147e-43 0 3.11088e-43 0 3.32108e-43 0 3.53127e-43 0 3.74147e-43 0 3.96567e-43 0 4.2039e-43 0 4.4281e-43 0 4.68034e-43 0 4.93257e-43 0 5.1848e-43 0 5.43704e-43 0 5.7173e-43 0 5.98354e-43 0 6.2638e-43 0 6.55808e-43 0 6.85235e-43 0 7.30076e-43 0 7.62306e-43 0 7.93135e-43 0 8.26766e-43 0 8.60397e-43 0 8.94028e-43 0 9.29061e-43 0 9.64093e-43 0 9.99126e-43 0 1.03696e-42 0 1.07339e-42 0 1.11123e-42 0 1.15047e-42 0 1.1897e-42
0.129424 7.17021e-17 7.17008e-17 1.37076e-21 1.91174e-05 0.00013218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8026e-45 0 1.26117e-44 0 2.94273e-44 0 5.1848e-44 0 8.12753e-44 0 1.17709e-43 0 1.61149e-43 0 2.12997e-43 0 2.69049e-43 0 3.36312e-43 0 4.06377e-43 0 4.91856e-43 0 5.75934e-43 0 6.65617e-43 0 7.63708e-43 0 8.81417e-43 0 9.94922e-43 0 1.11403e-42 0 1.24015e-42 0 1.37187e-42 0 1.54003e-42 0 1.68997e-42 0 1.84551e-42 0 2.00806e-42 0 2.17762e-42 0 2.35418e-42 0 2.53775e-42 0 2.72693e-42 0 2.92451e-42 0 3.18655e-42 0 3.40095e-42 0 3.62376e-42 0 3.85217e-42 0 4.08759e-42 0 4.33001e-42 0 4.58084e-42 0 4.83728e-42 0 5.10073e-42 0 5.37118e-42 0 5.65004e-42 0 5.9345e-42 0 6.22597e-42 0 6.52445e-42 0 6.83133e-42 0 7.14382e-42 0 7.46332e-42 0 7.93695e-42 0 8.27747e-42 0 8.62499e-42 0 8.97952e-42 0 9.34106e-42 0 9.7096e-42 0 1.00851e-41 0 1.04677e-41 0 1.08587e-41 0 1.12552e-41 0 1.16602e-41 0 1.20708e-41 0 1.24898e-41 0 1.29158e-41
0.136067 6.79569e-17 6.7956e-17 8.88119e-22 1.30689e-05 0.000111835 0 0 0 0 0 0 0 0 0 1.4013e-45 0 5.60519e-45 0 1.54143e-44 0 2.24208e-44 0 7.28675e-44 0 2.12997e-43 0 4.23192e-43 0 7.06254e-43 0 1.05798e-42 0 1.48818e-42 0 1.99965e-42 0 2.59661e-42 0 3.23139e-42 0 3.9979e-42 0 4.78543e-42 0 5.73271e-42 0 6.67579e-42 0 7.69173e-42 0 8.77773e-42 0 1.00837e-41 0 1.13337e-41 0 1.26551e-41 0 1.40494e-41 0 1.5518e-41 0 1.73355e-41 0 1.89764e-41 0 2.06916e-41 0 2.24796e-41 0 2.4342e-41 0 2.62786e-41 0 2.82894e-41 0 3.03745e-41 0 3.25339e-41 0 3.53309e-41 0 3.76767e-41 0 4.00982e-41 0 4.25939e-41 0 4.51653e-41 0 4.78123e-41 0 5.05336e-41 0 5.3332e-41 0 5.62047e-41 0 5.91516e-41 0 6.21756e-41 0 6.52739e-41 0 6.84478e-41 0 7.16974e-41 0 7.50227e-41 0 7.84223e-41 0 8.18975e-41 0 8.68679e-41 0 9.05547e-41 0 9.43186e-41 0 9.81596e-41 0 1.02076e-40 0 1.0607e-40 0 1.10141e-40 0 1.14287e-40 0 1.18511e-40 0 1.22811e-40 0 1.27187e-40 0 1.31641e-40 0 1.36171e-40 0 1.40779e-40
0.143051 7.05192e-17 7.05186e-17 5.83358e-22 8.27233e-06 9.53982e-05 0 0 0 0 0 0 0 1.12104e-44 0 7.84727e-44 0 2.22806e-43 0 5.89947e-43 0 8.36575e-43 0 2.00806e-42 0 4.71817e-42 0 8.16677e-42 0 1.23805e-41 0 1.73215e-41 0 2.30864e-41 0 2.96851e-41 0 3.71554e-41 0 4.50798e-41 0 5.43129e-41 0 6.38165e-41 0 7.48966e-41 0 8.60257e-41 0 9.79059e-41 0 1.1054e-40 0 1.25306e-40 0 1.3962e-40 0 1.54696e-40 0 1.70537e-40 0 1.87139e-40 0 2.07105e-40 0 2.25487e-40 0 2.44643e-40 0 2.64574e-40 0 2.85279e-40 0 3.06758e-40 0 3.29014e-40 0 3.52043e-40 0 3.75846e-40 0 4.05701e-40 0 4.31411e-40 0 4.57908e-40 0 4.8519e-40 0 5.13259e-40 0 5.42113e-40 0 5.71755e-40 0 6.02183e-40 0 6.33397e-40 0 6.65395e-40 0 6.98182e-40 0 7.31755e-40 0 7.66112e-40 0 8.01258e-40 0 8.3719e-40 0 8.73907e-40 0 9.1141e-40 0 9.62927e-40 0 1.00257e-39 0 1.04301e-39 0 1.08426e-39 0 1.1263e-39 0 1.16913e-39 0 1.21277e-39 0 1.25721e-39 0 1.30244e-39 0 1.34847e-39 0 1.3953e-39 0 1.44293e-39 0 1.49135e-39 0 1.54058e-39
