#wave           ISRF
0.000010192     0.76544
0.000010586     1.0228
0.000010996     1.0584
0.000011422     1.1071
0.000011864     0.92329
0.000012324     0.93335
0.000012801     1.1724
0.000013297     1.2437
0.000013812     1.1740
0.000014347     1.1715
0.000014902     1.1163
0.000015479     0.98951
0.000016079     1.0088
0.000016701     0.98932
0.000017348     0.93592
0.000018020     0.91365
0.000018717     0.81996
0.000019442     0.78049
0.000020195     0.72803
0.000020977     0.68167
0.000021789     0.64853
0.000022633     0.62071
0.000023509     0.57627
0.000024420     0.58852
0.000025365     0.57759
0.000026348     0.63401
0.000027368     0.62260
0.000028428     0.62871
0.000029529     0.72850
0.000030672     0.75710
0.000031860     0.76553
0.000033093     0.82489
0.000034375     0.82194
0.000035706     0.85775
0.000037088     0.93553
0.000038525     1.1653
0.000040016     1.3664
0.000041566     1.4833
0.000043176     1.4629
0.000044846     1.6496
0.000046584     1.7196
0.000048388     1.6861
0.000050262     1.6812
0.000052208     1.6604
0.000054230     1.7282
0.000056329     1.7389
0.000058511     1.7324
0.000060776     1.7151
0.000063130     1.6788
0.000065574     1.6515
0.000068114     1.6207
0.000070751     1.5714
0.000073491     1.5530
0.000076337     1.5169
0.000079293     1.4511
0.000082363     1.3968
0.000085552     1.3289
0.000088865     1.3222
0.000092306     1.2763
0.000095881     1.2328
0.000099593     1.2053
0.000103450     1.1753
0.000107456     1.1210
0.000111617     1.0525
0.000115939     1.0212
0.000120428     0.97659
0.000125092     0.93855
0.000129936     0.89562
0.000134967     0.85935
0.000140193     0.82282
0.000145622     0.78754
0.000151261     0.77362
0.000157118     0.75443
0.000163202     0.73272
0.000169522     0.67775
0.000176086     0.60801
0.000182905     0.54305
0.000189988     0.48735
0.000197344     0.43675
0.000204986     0.39366
0.000212924     0.35500
0.000221169     0.32024
0.000229733     0.27449
0.000238629     0.22234
0.000247869     0.19387
0.000257468     0.17630
0.000267438     0.16207
0.000277794     0.14620
0.000288550     0.13196
0.000299724     0.11766
0.000311330     0.10523
0.000323386     0.093760
0.000335908     0.083210
0.000348915     0.073946
0.000362426     0.065280
0.000376461     0.057373
0.000391038     0.050688
0.000406180     0.042892
0.000421909     0.036786
