# wave A(l)/A(V) unc
9.1368280351161957e-02 5.7519170914456472e+00 7.7704503875088615e-01
9.1552279889583588e-02 5.4342278308485161e+00 2.4922719017112666e-01
9.1736644506454468e-02 5.8732459862779027e+00 2.3240802490155682e-01
9.1921381652355194e-02 5.8204508659919751e+00 2.0555915909969655e-01
9.2106491327285767e-02 5.6337681385657987e+00 1.8910582095123832e-01
9.2291973531246185e-02 5.4489376679495383e+00 1.9571501078718448e-01
9.2477835714817047e-02 5.8098633377854920e+00 1.9161525336194371e-01
9.2664062976837158e-02 5.6831960804366828e+00 1.9482893047159866e-01
9.2850670218467712e-02 5.9676902987016414e+00 1.9993394955009053e-01
9.3037649989128113e-02 6.1253708571830874e+00 3.6509921806350965e-01
9.3225009739398956e-02 5.9080915435302108e+00 1.9783312725168395e-01
9.3412742018699646e-02 5.8273132475649874e+00 1.9773707623024336e-01
9.3600854277610779e-02 5.6731920045407458e+00 1.9285103658961128e-01
9.3789346516132355e-02 5.6658853859381146e+00 1.9599470058060486e-01
9.3978218734264374e-02 5.8873340831279632e+00 1.9300743074550528e-01
9.4167470932006836e-02 5.8063556133646559e+00 1.8975616541219897e-01
9.4357110559940338e-02 5.7458377351977967e+00 1.8903937804946552e-01
9.4547122716903687e-02 5.7823327958876041e+00 1.9367072655099205e-01
9.4737522304058075e-02 5.4861076355749043e+00 2.2362467458217983e-01
9.4928301870822906e-02 5.4070204495770291e+00 1.9783908959343655e-01
9.5119468867778778e-02 5.5061215997978419e+00 1.8898462769319435e-01
9.5311015844345093e-02 5.4270028248252826e+00 1.8212615793659195e-01
9.5502950251102448e-02 5.3531047323177692e+00 2.0818180726724680e-01
9.5695279538631439e-02 5.5822097955019547e+00 1.7909347904967021e-01
9.5887988805770874e-02 5.5311347598829697e+00 1.7984672723139000e-01
9.6081085503101349e-02 5.5316878575087109e+00 1.7947236110771136e-01
9.6274569630622864e-02 5.4500175690339487e+00 1.7964740207274871e-01
9.6468448638916016e-02 8.1434581889521951e+00 9.5271823678819201e-01
9.6662715077400208e-02 5.6177781653418331e+00 2.0724078392844963e-01
9.6857376396656036e-02 5.5488803566812122e+00 1.8243574449461059e-01
9.7052425146102905e-02 5.7382649012538876e+00 1.9699690586123536e-01
9.7247868776321411e-02 6.3519557702529239e+00 3.9852672683665979e-01
9.7443699836730957e-02 5.2803767765683709e+00 1.8442922616411656e-01
9.7639933228492737e-02 4.9177713417317053e+00 1.7618302623598939e-01
9.7836561501026154e-02 5.1331386413434092e+00 1.6937496326800577e-01
9.8033584654331207e-02 5.1918737905072820e+00 1.6734955920179534e-01
9.8231002688407898e-02 5.2950847945122916e+00 2.1350660792510939e-01
9.8428815603256226e-02 5.5352955077819539e+00 2.1414035276373983e-01
9.8627030849456787e-02 6.3801788084046507e+00 8.4095014412482838e-01
9.8825648427009583e-02 4.8602194928465705e+00 1.9468031384137366e-01
9.9024660885334015e-02 4.8562645353352547e+00 1.6451691807319763e-01
9.9224075675010681e-02 4.8670988312847498e+00 2.0950408117135400e-01
9.9423892796039581e-02 5.3330817247525477e+00 1.6902128528121121e-01
9.9624112248420715e-02 5.3077441368164298e+00 1.6780202838580235e-01
9.9824734032154083e-02 5.2479069389921964e+00 1.6516407548177142e-01
1.0002575814723969e-01 5.2311534637338450e+00 1.6511888469596353e-01
1.0022718459367752e-01 5.3558118733017812e+00 2.8371014064330158e-01
1.0042902082204819e-01 5.2241135809297701e+00 1.6699658273964230e-01
1.0063126683235168e-01 5.1375536339190955e+00 1.5906672182781526e-01
1.0083391517400742e-01 4.9931486414959556e+00 1.8205354965542220e-01
1.0103697329759598e-01 4.8455369991624266e+00 1.6470152876189031e-01
1.0124044120311737e-01 4.8951599555499818e+00 1.6593574859585100e-01
1.0144431889057159e-01 5.1070623440540865e+00 1.7159312802360802e-01
1.0164860635995865e-01 5.1179030324648931e+00 1.7035564916607179e-01
1.0185330361127853e-01 5.1153335766448196e+00 1.7319365661712738e-01
1.0205841809511185e-01 5.0553060184783094e+00 1.7290630072099866e-01
1.0226394236087799e-01 5.2186662944108608e+00 1.7709759939869085e-01
1.0246987640857697e-01 5.5578363217715365e+00 3.3090742469251311e-01
1.0267622768878937e-01 5.0707766075063603e+00 1.9435394344785284e-01
1.0288299620151520e-01 4.9957410524014998e+00 1.7128578314455833e-01
1.0309018194675446e-01 5.0142400226180719e+00 1.7423484630748193e-01
1.0329778492450714e-01 4.9497460290356079e+00 1.6277697048191600e-01
1.0350580513477325e-01 4.9377111022878211e+00 1.6622940880853004e-01
1.0371424257755280e-01 5.1533869496501854e+00 3.9176630987892569e-01
1.0392310470342636e-01 4.6839384023109121e+00 1.5175244280781552e-01
1.0413237661123276e-01 4.7853212074182965e+00 1.5348483780798508e-01
1.0434208065271378e-01 4.7881902740617921e+00 1.5182441978527939e-01
1.0455220192670822e-01 4.7485400601232204e+00 1.4851068008155519e-01
1.0476274788379669e-01 4.7163483690678323e+00 1.5042310044678803e-01
1.0497371852397919e-01 4.8074716359712193e+00 2.8340641706593828e-01
1.0518511384725571e-01 4.7112628007654349e+00 1.4939100817284057e-01
1.0539693385362625e-01 4.7084837292819541e+00 1.5158590483096912e-01
1.0560917854309082e-01 4.7017379325676805e+00 1.5058962686534910e-01
1.0582185536623001e-01 4.6712615624432061e+00 1.4828791823861143e-01
1.0603495687246323e-01 4.6530218568502812e+00 1.4902385625923775e-01
1.0624849051237106e-01 4.5368626085250243e+00 1.4776771196848998e-01
1.0646245628595352e-01 4.6490398673115418e+00 1.4647967844104690e-01
1.0667684674263000e-01 4.5784646261615558e+00 1.4689898282054395e-01
1.0689166933298111e-01 4.5647866670517905e+00 1.4314799896250277e-01
1.0710692405700684e-01 4.5230570835765507e+00 1.4690195511385026e-01
1.0732261836528778e-01 4.4624945875699842e+00 1.4523736005963536e-01
1.0753874480724335e-01 4.4980396320974032e+00 1.4558748740138153e-01
1.0775530338287354e-01 4.2338274811176015e+00 1.5388943712396427e-01
1.0797230154275894e-01 4.4434435007073692e+00 1.4073173581358883e-01
1.0818973183631897e-01 4.4174660215276864e+00 1.3933907474044349e-01
1.0840760171413422e-01 4.3070865018672961e+00 1.4515125337214399e-01
1.0862591117620468e-01 4.3629495101234053e+00 1.3445233253618977e-01
1.0884466022253036e-01 4.3927595994352897e+00 1.4197479219808884e-01
1.0906385630369186e-01 4.3438707768351339e+00 1.3635324567027868e-01
1.0928348451852798e-01 4.2564011714575649e+00 1.4415226420577490e-01
1.0950355976819992e-01 4.3410120718934175e+00 1.3476822982278613e-01
1.0972407460212708e-01 4.2917053186698091e+00 1.3502281565022797e-01
1.0994503647089005e-01 4.2687534015167721e+00 1.2890106667703799e-01
1.1016644537448883e-01 4.2645815326176066e+00 1.3200555802040864e-01
1.1038829386234283e-01 4.2153182355717789e+00 1.3028499637962207e-01
1.1061058938503265e-01 4.1963152399601578e+00 1.3181782635721159e-01
1.1083333939313889e-01 4.1615204711411824e+00 1.2831403962489013e-01
1.1105653643608093e-01 4.1150721525027683e+00 1.2798870715599420e-01
1.1128018051385880e-01 4.1230376185056565e+00 1.3159753089574619e-01
1.1150427162647247e-01 4.1348850466558700e+00 1.2742573827493076e-01
1.1172881722450256e-01 4.0807366807563641e+00 1.2095413774098224e-01
1.1195381730794907e-01 4.0413819090557732e+00 1.2462645951752979e-01
1.1217926442623138e-01 4.0003554392379099e+00 1.2375084472160602e-01
1.1240517348051071e-01 4.0605259906391105e+00 1.2817653030645820e-01
1.1263152956962585e-01 4.0197652137038729e+00 1.2571691191034379e-01
1.1285834759473801e-01 4.0110175351915744e+00 1.2845816123917467e-01
1.1308562010526657e-01 3.9913181154473460e+00 1.2398548611455459e-01
1.1331335455179214e-01 3.8738659958137598e+00 1.2027647962493655e-01
1.1354154348373413e-01 3.8592406765937293e+00 1.1732542609660662e-01
1.1377018690109253e-01 3.9261857819997656e+00 1.1924774501517726e-01
1.1399929970502853e-01 3.9700734896998928e+00 1.2423184287073563e-01
1.1422886699438095e-01 3.9014032500565756e+00 1.2252810639403246e-01
1.1445890367031097e-01 3.8353204880106562e+00 1.1971825390370922e-01
1.1468939483165741e-01 3.8785826424020513e+00 1.1802469744946310e-01
1.1492035537958145e-01 3.8567683534451813e+00 1.1395428684679897e-01
1.1515178531408310e-01 3.8209629383518053e+00 1.1694900915662167e-01
1.1515241861343384e-01 3.6511753154555486e+00 1.1277130798521440e-01
1.1538309603929520e-01 3.5740591425153241e+00 1.2047807175783487e-01
1.1538367718458176e-01 3.8047621327739898e+00 1.1670996887154030e-01
1.1561422795057297e-01 3.6437571114305580e+00 1.0836608354996399e-01
1.1561603099107742e-01 3.8440689951771612e+00 1.2297923709764885e-01
1.1584582924842834e-01 3.6667139001978657e+00 1.2121983339322720e-01
1.1584886163473129e-01 3.8355310024135534e+00 1.1892898431703369e-01
1.1607789993286133e-01 3.6715975488746584e+00 1.1871781014478386e-01
1.1608215421438217e-01 3.7773833740317011e+00 1.1685819815698904e-01
1.1631042510271072e-01 3.7591545641793345e+00 1.1367626700780216e-01
1.1631591618061066e-01 3.7605910475705633e+00 1.1527396669644582e-01
1.1654341965913773e-01 3.7259076996388947e+00 1.1830832797236250e-01
1.1655015498399734e-01 3.7398839013684273e+00 1.1160319426936380e-01
1.1677688360214233e-01 3.7119478141289033e+00 1.1598275840213591e-01
1.1678486317396164e-01 3.7990786069241786e+00 1.1661874748368345e-01
1.1701081693172455e-01 3.7265770041269408e+00 1.1247716038079386e-01
1.1702004075050354e-01 3.8160294948898827e+00 1.1281663198605904e-01
1.1724521219730377e-01 3.6818734818067482e+00 1.1331398023920067e-01
1.1725569516420364e-01 3.7217247719857967e+00 1.1421803842426129e-01
1.1748008430004120e-01 3.6671720225778199e+00 1.0899032007199988e-01
1.1749182641506195e-01 3.6160472421860375e+00 1.3365535117655480e-01
1.1771541833877563e-01 3.6550720392900407e+00 1.1716926692265489e-01
1.1772842705249786e-01 3.6797695984447585e+00 1.2060041517766978e-01
1.1795122921466827e-01 3.6828957492201333e+00 1.1455170729425898e-01
1.1796550452709198e-01 3.6562956734217065e+00 1.1505001965569542e-01
1.1818750947713852e-01 3.6639132704658253e+00 1.1004463682273577e-01
1.1820306628942490e-01 3.6108112862281034e+00 1.1087210617899945e-01
1.1842426657676697e-01 3.6228568880259586e+00 1.0676920558743645e-01
1.1844109743833542e-01 3.6097198223831706e+00 1.1576625701456209e-01
1.1866150051355362e-01 3.6514385500395021e+00 1.0573228007486143e-01
1.1867961287498474e-01 3.6151232585145676e+00 1.1532952338769620e-01
1.1889920383691788e-01 3.6646652257965546e+00 1.1064015479861822e-01
1.1891861259937286e-01 3.5049476206679935e+00 1.2119138456966397e-01
1.2350717931985855e-01 3.5431545109502900e+00 1.0419655768604688e-01
1.2375459074974060e-01 3.4956221058906887e+00 1.0207647817462520e-01
1.2400249391794205e-01 3.4421337785095627e+00 9.7994044548668280e-02
1.2425090372562408e-01 3.4096314854111385e+00 1.0006411088901639e-01
1.2449980527162552e-01 3.4145780081988479e+00 9.8302276051339371e-02
1.2474920600652695e-01 3.3530482316531209e+00 9.5740010123085709e-02
1.2499910593032837e-01 3.3779062263198818e+00 9.5667675333100402e-02
1.2524950504302979e-01 3.3526325551372644e+00 9.6713397925009645e-02
1.2550041079521179e-01 3.3641034391308899e+00 9.5124607550211820e-02
1.2575180828571320e-01 3.3544067843543006e+00 9.7101458268050264e-02
1.2600372731685638e-01 3.3753648454259375e+00 9.8829908504598191e-02
1.2625613808631897e-01 3.3597011403156620e+00 9.7388894215940061e-02
1.2650905549526215e-01 3.3391340319792442e+00 9.5427386160625516e-02
1.2676247954368591e-01 3.3037639811575339e+00 9.4238027269447466e-02
1.2701641023159027e-01 3.3189850856784742e+00 9.3816978189183581e-02
1.2727086246013641e-01 3.3103750015368565e+00 9.4653791639935300e-02
1.2752580642700195e-01 3.3067524394587995e+00 9.6481218637091443e-02
1.2778127193450928e-01 3.3175421033561308e+00 9.5868633556140254e-02
1.2803724408149719e-01 3.3046373775933775e+00 9.3996390391214296e-02
1.2829373776912689e-01 3.2625697881746620e+00 9.3892841911223879e-02
1.2855073809623718e-01 3.2490875257418650e+00 9.2873182384714717e-02
1.2880824506282806e-01 3.2693822934354357e+00 9.4326476396526346e-02
1.2906628847122192e-01 3.2664280614012968e+00 9.3432668779248995e-02
1.2932482361793518e-01 3.2387101852397238e+00 9.1844961440591705e-02
1.2958389520645142e-01 3.2378639452136473e+00 9.3133398358040506e-02
1.2984348833560944e-01 3.2399715358589076e+00 9.3626367474431316e-02
1.3010358810424805e-01 3.2031439027123350e+00 9.2055795365643581e-02
1.3036420941352844e-01 3.2111916622165859e+00 9.0701370440611065e-02
1.3062536716461182e-01 3.2016880591823549e+00 9.4205821521635355e-02
1.3088703155517578e-01 3.1890504246158802e+00 9.1345890011541628e-02
1.3114923238754272e-01 3.1645150804489202e+00 9.2180858959330841e-02
1.3141195476055145e-01 3.1683152202498741e+00 8.9888912897695405e-02
1.3167519867420197e-01 3.1507263960094698e+00 8.9307971714469039e-02
1.3193897902965546e-01 3.1463870009854711e+00 8.6296497843980885e-02
1.3220328092575073e-01 3.1445346924837208e+00 8.8983786781710608e-02
1.3246810436248779e-01 3.1511189641222694e+00 8.8768942019463545e-02
1.3273347914218903e-01 3.1628725436126959e+00 8.8654321825939131e-02
1.3299936056137085e-01 3.1671134119395234e+00 9.1294781525237179e-02
1.3326579332351685e-01 3.1335019915004212e+00 9.0730749537275376e-02
1.3353274762630463e-01 3.1063713613248565e+00 8.7725625039294666e-02
1.3380025327205658e-01 3.0817413910096332e+00 8.6407719202559768e-02
1.3406828045845032e-01 3.1179851006961101e+00 8.8682577017634268e-02
1.3433684408664703e-01 3.1009047339392457e+00 8.7743689735841526e-02
1.3460595905780792e-01 3.0846361144981840e+00 8.9335752901736759e-02
1.3487561047077179e-01 3.0786933239242980e+00 8.7412489977149066e-02
1.3514578342437744e-01 3.0696043577847734e+00 8.7015574516612321e-02
1.3541652262210846e-01 3.0617914681910561e+00 8.6680080477358645e-02
1.3568778336048126e-01 3.0425614246176784e+00 8.4511175218782153e-02
1.3595959544181824e-01 3.0374068804096201e+00 8.5540025808234374e-02
1.3623195886611938e-01 3.0439856889651007e+00 8.6279074220930091e-02
1.3650485873222351e-01 3.0198620566919789e+00 8.5596603670839336e-02
1.3677830994129181e-01 3.0318814629261337e+00 8.6113569389201616e-02
1.4094640314579010e-01 2.8975163592085766e+00 8.2094876328053332e-02
1.4122875034809113e-01 2.8933540611152750e+00 8.1068493406665304e-02
1.4151166379451752e-01 2.8998791896212577e+00 8.1169181578760907e-02
1.4179514348506927e-01 2.9131150238836931e+00 8.1314444603407338e-02
1.4207918941974640e-01 2.9091357352044884e+00 8.0216692528792349e-02
1.4236380159854889e-01 2.8880800673871763e+00 8.1514532084000099e-02
1.4264899492263794e-01 2.8648673839100649e+00 7.9862957088550582e-02
1.4293475449085236e-01 2.8457966866718190e+00 7.9364943045033984e-02
1.4322108030319214e-01 2.8607593496403063e+00 7.9116755509868048e-02
1.4350798726081848e-01 2.8552040310919065e+00 7.9922950585886832e-02
1.4379546046257019e-01 2.8552119865792394e+00 8.1957809146325847e-02
1.4408351480960846e-01 2.8544552897543327e+00 8.0690949389900804e-02
1.4437215030193329e-01 2.8553555069415562e+00 7.9841210800200041e-02
1.4466135203838348e-01 2.8655033100536067e+00 8.0027829015847124e-02
1.4495114982128143e-01 2.8495377318404693e+00 7.9543495640067532e-02
1.4524151384830475e-01 2.8182569314921655e+00 7.8854807673683330e-02
1.4553247392177582e-01 2.8218990689867804e+00 7.7193933995791275e-02
1.4582400023937225e-01 2.8192405104040708e+00 7.8015334638108114e-02
1.4611612260341644e-01 2.8109539442266618e+00 7.7957183470668726e-02
1.4640882611274719e-01 2.8188891319495522e+00 7.7796380014426875e-02
1.4670211076736450e-01 2.8152162223490262e+00 7.8014719330213242e-02
1.4699599146842957e-01 2.8015859194507740e+00 7.9002913456046125e-02
1.4729045331478119e-01 2.8061792469126803e+00 7.8333606395266014e-02
1.4758551120758057e-01 2.8058087755069407e+00 7.6676454009401485e-02
1.4788115024566650e-01 2.8030152209297152e+00 7.7721559373236881e-02
1.4817740023136139e-01 2.7851302759197702e+00 7.7331730702315526e-02
1.4847423136234283e-01 2.7806645320672287e+00 7.6824815975755426e-02
1.4877165853977203e-01 2.7755041976703647e+00 7.6684186782760969e-02
1.4906968176364899e-01 2.7756411233963068e+00 7.7362767911041436e-02
1.4936830103397369e-01 2.7704136317515076e+00 7.6848082245168189e-02
1.4966751635074615e-01 2.7778763024954802e+00 7.6477137548053187e-02
1.4996732771396637e-01 2.7632070181714354e+00 7.5480638475547618e-02
1.5026775002479553e-01 2.7789494324326012e+00 7.7458337723501858e-02
1.5056876838207245e-01 2.7506063347916574e+00 7.6269404569716953e-02
1.5087039768695831e-01 2.7610301807693820e+00 7.5997349545712786e-02
1.5117262303829193e-01 2.7533261960738749e+00 7.6230829460110408e-02
1.5147545933723450e-01 2.7495532699524907e+00 7.6132123191009621e-02
1.5640410780906677e-01 2.6780634998009920e+00 7.4372752641015893e-02
1.5671741962432861e-01 2.6650441412393890e+00 7.2019497486396383e-02
1.5703135728836060e-01 2.6668056922180745e+00 7.2887585348529751e-02
1.5734592080116272e-01 2.6727813564564653e+00 7.2635978188036313e-02
1.5766112506389618e-01 2.6671483309243311e+00 7.2300336224700043e-02
1.5797695517539978e-01 2.6679563557300190e+00 7.2760521493575786e-02
1.5829342603683472e-01 2.6761538734156014e+00 7.3985518620304017e-02
1.5861052274703979e-01 2.6538805567137427e+00 7.2449724067614601e-02
1.5892824530601501e-01 2.6675939781991098e+00 7.1014558787217408e-02
1.5924662351608276e-01 2.6547153722405561e+00 7.1902879059625474e-02
1.5956562757492065e-01 2.6376970212112343e+00 7.2462297370469164e-02
1.5988527238368988e-01 2.6396763656338202e+00 7.2192200782670690e-02
1.6020555794239044e-01 2.6405925174893770e+00 7.1634404891793277e-02
1.6052648425102234e-01 2.6409795305717356e+00 7.1929510574938321e-02
1.6084805130958557e-01 2.6313063380429855e+00 7.1380879956250892e-02
1.6117027401924133e-01 2.6225022498654176e+00 7.1206376059362753e-02
1.6149312257766724e-01 2.6171842697237104e+00 7.0076718761621540e-02
1.6181664168834686e-01 2.6205003353732108e+00 7.0692454992823867e-02
1.6214078664779663e-01 2.6239330245408135e+00 7.0300103854457785e-02
1.6246558725833893e-01 2.6229771185818156e+00 7.1442687199385901e-02
1.6279104351997375e-01 2.6256580359129180e+00 7.0801485006884823e-02
1.6311715543270111e-01 2.6070882771626778e+00 6.9914049795153338e-02
1.6344390809535980e-01 2.6009893726767008e+00 6.9726059071477525e-02
1.6377133131027222e-01 2.6029711742901473e+00 6.8444090802228214e-02
1.6409939527511597e-01 2.5971610960305811e+00 6.9033632026732836e-02
1.6442812979221344e-01 2.6036685027987905e+00 6.9642691385507979e-02
1.6475751996040344e-01 2.6079247309413085e+00 6.9796634123300824e-02
1.6508756577968597e-01 2.6129275106955050e+00 6.9182981755914100e-02
1.6541826725006104e-01 2.6151239480844710e+00 6.8520811834277981e-02
1.6574963927268982e-01 2.6228103170230943e+00 7.0109065642040488e-02
1.6608166694641113e-01 2.6019854717604600e+00 6.9567927143396657e-02
1.6641436517238617e-01 2.6044473396642496e+00 6.8484453820255878e-02
1.6674773395061493e-01 2.6180308302662869e+00 6.9815262232553577e-02
1.6708177328109741e-01 2.5942514422746799e+00 6.8839814852305503e-02
1.6741646826267242e-01 2.5913601140347637e+00 6.9541627204005391e-02
1.6775183379650116e-01 2.5922271074909364e+00 6.8101991702961814e-02
